N,Time (s),Memory (KB),Passes
10,0.0,4172.0,9.01
20,0.0,4152.0,14.69
30,0.0,4156.0,19.27
40,0.0,4168.0,24.53
50,0.0,4172.0,28.2
60,0.0,4148.0,33.23
70,0.01,4164.0,36.75
80,0.01,4184.0,40.52
90,0.01,4188.0,44.45
100,0.01,3168.0,47.75
150,0.03,3164.0,64.43
200,0.06,4172.0,78.55
250,0.09,3136.0,93.95
300,0.14,3128.0,105.31
350,0.18,3108.0,111.12
400,0.24,3140.0,119.95
450,0.28,3188.0,119.97
500,0.34,3136.0,124.13
550,0.43,3108.0,131.15
600,0.5,3116.0,134.83
650,0.56,3108.0,135.73
700,0.63,3192.0,132.02
750,0.69,4172.0,135.41
800,0.79,3132.0,139.4
850,0.88,3148.0,142.24
900,0.89,3148.0,131.72
950,1.03,3152.0,143.48
1000,1.12,3152.0,143.89
