N,Time (s),Memory (KB),Passes
10,0.0,3144.0,3.44
20,0.0,4188.0,8.41
30,0.0,4148.0,13.74
40,0.0,4156.0,19.68
50,0.0,3188.0,25.46
60,0.0,4184.0,31.3
70,0.01,3196.0,37.41
80,0.01,3132.0,43.8
90,0.01,4188.0,49.83
100,0.01,3180.0,56.98
150,0.04,4188.0,90.18
200,0.09,3156.0,126.17
250,0.16,3108.0,160.54
300,0.26,3108.0,199.64
350,0.39,3104.0,238.66
400,0.56,3108.0,280.43
450,0.78,3108.0,325.91
500,1.03,4156.0,368.64
550,1.32,3196.0,410.75
600,1.66,3108.0,455.15
650,2.07,3188.0,498.94
700,2.53,3144.0,548.84
750,3.04,3124.0,593.04
800,3.53,3108.0,637.68
850,4.23,3108.0,683.38
900,4.98,3128.0,738.97
950,5.69,3192.0,776.79
1000,6.41,3140.0,824.96
