N,Time (s),Memory (KB),Passes
10,0.0,5168.0,1.0
20,0.0,5156.0,1.0
30,0.0,4148.0,1.0
40,0.0,4188.0,1.29
50,0.0,3188.0,1.88
60,0.0,4136.0,1.99
70,0.0,4136.0,2.0
80,0.0,4160.0,2.0
90,0.0,4180.0,2.0
100,0.0,3124.0,2.0
150,0.0,4164.0,2.0
200,0.0,3168.0,2.01
250,0.0,4152.0,2.02
300,0.0,3124.0,2.04
350,0.01,4172.0,2.06
400,0.01,4172.0,2.09
450,0.01,4152.0,2.09
500,0.01,4184.0,2.1
550,0.01,3108.0,2.13
600,0.01,3116.0,2.14
650,0.02,3184.0,2.15
700,0.02,4152.0,2.14
750,0.02,3108.0,2.16
800,0.02,3132.0,2.18
850,0.02,3104.0,2.16
900,0.03,5176.0,2.15
950,0.03,4132.0,2.17
1000,0.03,4200.0,2.18
