N,Time (s),Memory (KB),Passes
10,0.0,3140.0,1.0
20,0.0,4144.0,1.0
30,0.0,3192.0,2.0
40,0.0,4148.0,2.0
50,0.0,3132.0,2.0
60,0.0,4164.0,2.0
70,0.0,3140.0,2.0
80,0.0,4152.0,2.0
90,0.0,4148.0,2.0
100,0.0,3124.0,2.02
150,0.0,3160.0,2.74
200,0.0,3160.0,2.97
250,0.0,3140.0,2.97
300,0.0,4148.0,3.0
350,0.01,3132.0,3.01
400,0.01,3136.0,3.03
450,0.01,4148.0,3.14
500,0.01,4152.0,3.28
550,0.01,4188.0,3.47
600,0.02,4192.0,3.53
650,0.02,4156.0,3.59
700,0.02,3128.0,3.75
750,0.02,4156.0,3.96
800,0.03,3136.0,4.08
850,0.03,4168.0,4.34
900,0.04,3128.0,4.53
950,0.04,5204.0,4.55
1000,0.04,5192.0,4.63
