N,Time (s),Memory (KB),Passes
10,0.0,4152.0,1.0
20,0.0,3132.0,1.0
30,0.0,3140.0,2.0
40,0.0,3128.0,2.0
50,0.0,3124.0,2.0
60,0.0,3132.0,2.0
70,0.0,4176.0,2.0
80,0.0,3184.0,2.04
90,0.0,4188.0,2.12
100,0.0,3160.0,2.33
150,0.0,3160.0,2.94
200,0.0,4152.0,3.01
250,0.0,4156.0,3.12
300,0.01,3140.0,3.43
350,0.01,4164.0,3.5
400,0.01,4144.0,3.57
450,0.01,3132.0,3.79
500,0.01,4148.0,3.99
550,0.02,3144.0,4.25
600,0.02,3180.0,4.2
650,0.02,4152.0,4.39
700,0.02,3168.0,4.32
750,0.03,3152.0,4.49
800,0.03,3108.0,4.57
850,0.03,3188.0,4.87
900,0.04,3136.0,4.93
950,0.04,5176.0,4.93
1000,0.05,4176.0,5.04
