N,Time (s),Memory (KB),Passes
10,0.0,4156.0,3.0
20,0.0,3136.0,3.0
30,0.0,3144.0,3.0
40,0.0,4168.0,3.0
50,0.0,4188.0,3.0
60,0.0,3144.0,3.0
70,0.0,4152.0,3.0
80,0.0,4152.0,3.0
90,0.0,4136.0,3.0
100,0.0,3120.0,3.0
150,0.0,4144.0,3.2
200,0.0,3112.0,3.1
250,0.0,3160.0,3.1
300,0.01,3196.0,3.1
350,0.01,4180.0,3.1
400,0.01,4132.0,3.1
450,0.01,4188.0,3.1
500,0.01,3132.0,3.3
550,0.01,3144.0,3.2
600,0.02,4180.0,3.4
650,0.02,4152.0,3.2
700,0.02,4144.0,3.3
750,0.02,4188.0,3.4
800,0.03,4148.0,3.4
850,0.03,4192.0,3.4
900,0.03,4184.0,3.5
950,0.03,4156.0,3.4
1000,0.04,3132.0,3.6
