N,Time (s),Memory (KB),Passes
10,0.0,4168.0,1.0
20,0.0,4196.0,1.0
30,0.0,4168.0,1.0
40,0.0,4188.0,1.0
50,0.0,4204.0,1.0
60,0.0,4168.0,1.0
70,0.0,4172.0,1.0
80,0.0,4180.0,1.0
90,0.0,4172.0,1.0
100,0.0,4168.0,1.0
200,0.0,5220.0,1.0
300,0.0,6216.0,1.0
400,0.0,7240.0,1.0
500,0.0,7240.0,1.0
600,0.0,8264.0,1.0
700,0.0,9316.0,1.0
800,0.0,9284.0,1.0
900,0.0,10312.0,1.0
1000,0.0,11332.0,1.0
1250,0.02,5220.0,1.98
1500,0.02,6216.0,2.0
1750,0.03,6244.0,2.0
2000,0.03,6216.0,2.0
2250,0.04,6204.0,2.0
2500,0.04,7308.0,2.0
3000,0.05,8264.0,2.0
3500,0.06,8264.0,2.0
4000,0.07,8224.0,2.0
4500,0.09,10312.0,2.0
5000,0.1,9252.0,2.0
6000,0.12,12388.0,2.0
7000,0.15,12352.0,2.0
8000,0.18,14460.0,2.0
9000,0.21,15396.0,2.0
10000,0.24,17532.0,2.0
