N,Time (s),Memory (KB),Passes
10,0.0,4196.0,1.0
20,0.0,4168.0,1.0
30,0.0,4176.0,1.0
40,0.0,4176.0,1.0
50,0.0,4212.0,1.0
60,0.0,4192.0,1.0
70,0.0,4168.0,1.0
80,0.0,4168.0,1.0
90,0.0,4196.0,1.0
100,0.0,4164.0,1.0
200,0.0,5188.0,1.0
300,0.0,6216.0,1.0
400,0.0,7236.0,1.0
500,0.0,7236.0,1.0
600,0.0,8264.0,1.0
700,0.0,9288.0,1.0
800,0.0,9288.0,1.0
900,0.0,10388.0,1.0
1000,0.0,11336.0,1.0
1250,0.01,5192.0,2.0
1500,0.01,6244.0,2.0
1750,0.01,5156.0,2.0
2000,0.02,6228.0,2.0
2250,0.02,7240.0,2.0
2500,0.02,7240.0,2.0
3000,0.02,7204.0,2.0
3500,0.03,8272.0,2.0
4000,0.03,9288.0,2.0
4500,0.04,10312.0,2.0
5000,0.04,10340.0,2.0
6000,0.05,11300.0,2.0
7000,0.06,12376.0,2.0
8000,0.07,13432.0,2.0
9000,0.08,16504.0,2.0
10000,0.09,16420.0,2.0
