N,Time (s),Memory (KB),Passes
10,0.0,3916.0,2.0
20,0.0,3880.0,2.0
30,0.0,3960.0,2.0
40,0.0,3908.0,2.0
50,0.0,3960.0,2.0
60,0.0,3968.0,2.0
70,0.0,3984.0,2.0
80,0.0,3844.0,2.0
90,0.0,4016.0,2.0
100,0.0,4072.0,2.0
150,0.0,4092.0,2.0
200,0.0,4048.0,2.0
250,0.0,4248.0,2.0
300,0.0,4336.0,2.0
350,0.0,4340.0,2.0
400,0.0,4444.0,2.0
450,0.0,4556.0,2.0
500,0.0,4560.0,2.0
600,0.0,4736.0,3.0
700,0.0,4868.0,3.0
800,0.0,5012.0,3.0
900,0.01,5140.0,3.0
1000,0.01,5312.0,3.0
1200,0.01,5560.0,3.0
1400,0.01,5800.0,3.0
1600,0.01,6140.0,3.0
1800,0.02,6416.0,3.0
2000,0.01,6648.0,3.0
2500,0.02,7344.0,3.0
3000,0.02,8088.0,3.0
3500,0.03,8616.0,3.0
4000,0.04,9172.0,3.0
4500,0.03,9996.0,3.0
5000,0.04,10348.0,3.0
6000,0.06,11804.0,3.0
7000,0.05,13128.0,3.0
8000,0.07,14536.0,3.0
9000,0.08,16144.0,3.0
10000,0.09,17340.0,3.0
