N,Time (s),Memory (KB),Passes
10,0.0,11900.0,1.0
20,0.0,18976.0,1.0
30,0.0,26044.0,1.0
40,0.0,32836.0,1.0
50,0.0,39952.0,1.0
60,0.0,46456.0,1.0
70,0.0,53316.0,1.0
80,0.0,60092.0,1.0
90,0.0,67120.0,1.0
100,0.0,73800.0,1.0
150,0.0,107480.0,1.0
200,0.0,144076.0,1.0
250,0.0,179384.0,1.0
300,0.0,214244.0,1.0
350,0.0,248444.0,1.0
400,0.0,283224.0,1.0
450,0.0,318904.0,1.0
500,0.0,352552.0,1.0
600,0.0,418452.0,1.0
700,0.0,487548.0,1.0
800,0.0,558004.0,1.0
900,0.0,627904.0,1.0
1000,0.0,699052.0,1.0
1200,0.01,5600.0,2.0
1400,0.01,5840.0,2.0
1600,0.01,5936.0,2.0
1800,0.01,6328.0,2.0
2000,0.01,6524.0,2.0
2500,0.02,7208.0,2.0
3000,0.02,8036.0,2.0
3500,0.02,8736.0,2.0
4000,0.02,9392.0,2.0
4500,0.03,10080.0,2.0
5000,0.03,10608.0,2.0
6000,0.04,11992.0,2.0
7000,0.04,13532.0,2.0
8000,0.06,14864.0,2.0
9000,0.06,16368.0,2.0
10000,0.06,17828.0,2.0
