N,Time (s),Memory (KB),Passes
10,0.0,11940.0,1.0
20,0.0,19040.0,1.0
30,0.0,26060.0,1.0
40,0.0,32900.0,1.0
50,0.0,39860.0,1.0
60,0.0,46552.0,1.0
70,0.0,53372.0,1.0
80,0.0,60020.0,1.0
90,0.0,67004.0,1.0
100,0.0,73904.0,1.0
150,0.0,107708.0,1.0
200,0.0,144240.0,1.0
250,0.0,179392.0,1.0
300,0.0,214444.0,1.0
350,0.0,248432.0,1.0
400,0.0,283252.0,1.0
450,0.0,318872.0,1.0
500,0.0,352420.0,1.0
600,0.0,418328.0,1.0
700,0.0,487388.0,1.0
800,0.0,558180.0,1.0
900,0.0,627956.0,1.0
1000,0.0,699028.0,1.0
1200,0.01,5524.0,2.0
1400,0.01,5820.0,2.0
1600,0.01,6080.0,2.0
1800,0.01,6356.0,2.0
2000,0.01,6620.0,2.0
2500,0.02,7208.0,2.0
3000,0.02,7892.0,2.0
3500,0.02,8636.0,2.0
4000,0.03,9372.0,2.0
4500,0.03,10096.0,2.0
5000,0.03,10724.0,2.0
6000,0.04,12108.0,2.0
7000,0.05,13524.0,2.0
8000,0.06,14904.0,2.0
9000,0.07,16280.0,2.0
10000,0.04,17656.0,1.6
