N,Time (s),Memory (KB),Passes
10,0.0,4024.0,2.0
20,0.0,3996.0,2.0
30,0.0,4104.0,2.0
40,0.0,4064.0,2.0
50,0.0,4012.0,2.0
60,0.0,4060.0,2.0
70,0.0,4092.0,2.0
80,0.0,4112.0,2.0
90,0.0,4160.0,2.0
100,0.0,4324.0,2.0
150,0.0,4236.0,2.0
200,0.0,4292.0,2.0
250,0.0,4532.0,2.0
300,0.0,4456.0,2.0
350,0.0,4508.0,2.0
400,0.0,4596.0,2.0
450,0.0,4680.0,2.0
500,0.0,4760.0,2.0
600,0.0,4884.0,3.0
700,0.0,4948.0,3.0
800,0.01,5164.0,3.0
900,0.01,5300.0,3.0
1000,0.01,5412.0,3.0
1200,0.01,5676.0,3.0
1400,0.01,6048.0,3.0
1600,0.01,6260.0,3.0
1800,0.01,6432.0,3.0
2000,0.02,6748.0,3.0
2500,0.02,7512.0,3.0
3000,0.02,8200.0,3.0
3500,0.04,8568.0,3.0
4000,0.04,9336.0,3.0
4500,0.04,9864.0,3.0
5000,0.04,10560.0,3.0
6000,0.05,11888.0,3.0
7000,0.06,13168.0,3.0
8000,0.07,14536.0,3.0
9000,0.08,16084.0,3.0
10000,0.12,17456.0,2.6
