N,Time (s),Memory (KB),Passes
10,0.0,3072.0,2.0
20,0.0,3072.0,3.0
30,0.0,3072.0,3.06
40,0.0,3072.0,3.06
50,0.0,3072.0,3.07
60,0.0,3072.0,3.14
70,0.0,3072.0,3.15
80,0.0,3072.0,3.14
90,0.0,3072.0,3.23
100,0.0,3072.0,3.15
150,0.0,3072.0,3.37
200,0.0,3072.0,3.3
250,0.0,3072.0,3.43
300,0.0,3072.0,3.47
350,0.0,3072.0,3.54
400,0.01,3072.0,3.6
450,0.01,3072.0,3.64
500,0.01,3072.0,3.72
550,0.01,3072.0,3.67
600,0.01,3072.0,3.65
650,0.01,3072.0,3.8
700,0.01,3072.0,3.76
750,0.01,3072.0,3.66
800,0.01,3072.0,3.75
850,0.01,3072.0,3.77
900,0.01,3072.0,3.8
950,0.02,3072.0,3.83
1000,0.02,3072.0,3.81
