N,Time (s),Memory (KB),Passes
10,0.0,3072.0,1.0
20,0.0,3072.0,1.0
30,0.0,3072.0,1.0
40,0.0,3072.0,1.0
50,0.0,3072.0,1.0
60,0.0,3072.0,1.0
70,0.0,3072.0,1.0
80,0.0,3072.0,1.0
90,0.0,3072.0,1.0
100,0.0,3072.0,1.0
150,0.0,4096.0,1.0
200,0.0,4096.0,1.0
250,0.0,5120.0,1.0
300,0.0,5120.0,1.0
350,0.0,5120.0,1.0
400,0.0,6144.0,1.0
450,0.0,6144.0,1.0
500,0.0,6144.0,1.0
600,0.0,7168.0,1.0
700,0.0,8192.0,1.0
800,0.0,8192.0,1.0
900,0.0,9216.0,1.0
1000,0.0,10240.0,1.0
1200,0.01,4096.0,1.0
1400,0.01,4096.0,1.0
1600,0.02,4096.0,1.0
1800,0.02,4096.0,1.0
2000,0.02,5120.0,1.0
2500,0.03,5120.0,1.0
3000,0.04,6144.0,1.0
3500,0.04,6144.0,1.0
4000,0.05,7168.0,1.0
4500,0.06,7168.0,1.0
5000,0.07,8192.0,1.0
6000,0.1,8192.0,1.0
7000,0.12,10240.0,1.0
8000,0.14,10240.0,1.0
9000,0.16,11264.0,1.0
10000,0.37,12288.0,1.0
