N,Time (s),Memory (KB),Passes
10,0.0,11868.0,1.0
20,0.0,18980.0,1.0
30,0.0,26064.0,1.0
40,0.0,32864.0,1.0
50,0.0,40148.0,1.0
60,0.0,47272.0,1.0
70,0.0,54084.0,1.0
80,0.0,60968.0,1.0
90,0.0,68288.0,1.0
100,0.0,75200.0,1.0
150,0.0,3992.0,1.0
200,0.0,3972.0,1.0
250,0.0,4096.0,1.0
300,0.0,4080.0,1.0
350,0.0,4328.0,1.0
400,0.0,4340.0,1.0
450,0.0,4192.0,1.0
500,0.0,4232.0,1.0
600,0.01,4320.0,1.0
700,0.01,4576.0,1.0
800,0.01,4596.0,1.0
900,0.01,4788.0,1.0
1000,0.01,4800.0,1.0
1200,0.01,5044.0,1.0
1400,0.02,5216.0,1.0
1600,0.02,5352.0,1.0
1800,0.03,5744.0,1.0
2000,0.03,5752.0,1.0
2500,0.05,6356.0,1.0
3000,0.06,6912.0,1.0
3500,0.07,7432.0,1.0
4000,0.1,8124.0,1.0
4500,0.12,9108.0,1.0
5000,0.12,9320.0,1.0
6000,0.18,10428.0,1.0
7000,0.03,10760.0,1.0
8000,0.26,14188.0,1.0
9000,0.3,14468.0,1.0
10000,0.37,15968.0,1.0
