N,Time (s),Memory (KB),Passes
10,0.0,3956.0,2.0
20,0.0,4004.0,3.0
30,0.0,4092.0,3.04
40,0.0,3840.0,3.05
50,0.0,4012.0,3.08
60,0.0,4024.0,3.08
70,0.0,4024.0,3.1
80,0.0,4032.0,3.12
90,0.0,3980.0,3.13
100,0.0,3880.0,3.14
150,0.0,3972.0,3.19
200,0.0,4036.0,3.23
250,0.0,4132.0,3.27
300,0.0,4148.0,3.29
350,0.01,4152.0,3.32
400,0.01,4156.0,3.33
450,0.01,4080.0,3.34
500,0.01,4116.0,3.37
600,0.01,4336.0,3.4
700,0.02,4384.0,3.43
800,0.02,4380.0,3.46
900,0.02,4320.0,3.48
1000,0.03,4548.0,3.5
1200,0.03,4620.0,3.53
1400,0.05,4496.0,3.55
1600,0.06,4804.0,3.58
1800,0.07,4988.0,3.6
2000,0.08,5124.0,3.61
2500,0.12,5308.0,3.65
3000,0.15,5568.0,3.68
3500,0.2,5888.0,3.71
4000,0.25,6064.0,3.73
4500,0.29,6148.0,3.74
5000,0.33,6688.0,3.76
6000,0.46,7084.0,3.78
7000,0.09,7332.0,1.44
8000,0.73,8024.0,3.82
9000,0.93,8872.0,3.84
10000,1.05,9052.0,3.85
