N,Time (s),Memory (KB),Passes
10,0.0,3072.0,1.0
20,0.0,3072.0,1.0
30,0.0,3072.0,1.0
40,0.0,3072.0,1.0
50,0.0,3072.0,1.0
60,0.0,3072.0,1.0
70,0.0,3072.0,1.0
80,0.0,3072.0,1.0
90,0.0,3072.0,1.0
100,0.0,3072.0,1.0
200,0.0,3072.0,2.0
300,0.0,3072.0,2.0
400,0.01,3072.0,2.0
500,0.01,3072.0,2.0
600,0.01,4096.0,2.0
700,0.01,4096.0,2.0
800,0.01,4096.0,2.0
900,0.02,4096.0,2.0
1000,0.02,4096.0,2.0
1250,0.03,4096.0,2.0
1500,0.04,5120.0,2.0
1750,0.05,5120.0,2.0
2000,0.06,5120.0,2.0
2250,0.07,6144.0,2.0
2500,0.08,6144.0,2.0
3000,0.11,7168.0,2.0
3500,0.13,7168.0,2.0
4000,0.17,8192.0,2.0
4500,0.19,9216.0,2.0
5000,0.23,9216.0,2.0
6000,0.29,11264.0,2.0
7000,0.36,12288.0,2.0
8000,0.45,13312.0,2.0
9000,0.55,15360.0,2.0
10000,0.6,16384.0,2.0
