N,Time (s),Memory (KB),Passes
10,0.0,3188.0,2.0
20,0.0,3140.0,2.81
30,0.0,4156.0,2.96
40,0.0,4156.0,3.0
50,0.0,4192.0,3.0
60,0.0,4152.0,3.0
70,0.0,3116.0,3.0
80,0.0,3192.0,3.0
90,0.0,4172.0,3.0
100,0.0,4160.0,3.0
200,0.0,4152.0,3.0
300,0.0,4188.0,3.01
400,0.01,3108.0,3.11
500,0.01,3144.0,3.32
600,0.01,4192.0,3.77
700,0.02,4180.0,3.93
800,0.02,4156.0,4.0
900,0.03,3108.0,4.0
1000,0.03,5216.0,4.0
1250,0.05,5180.0,4.0
1500,0.06,4148.0,4.0
1750,0.08,4132.0,4.0
2000,0.1,5216.0,4.0
2250,0.11,6232.0,4.0
2500,0.13,6236.0,4.0
3000,0.17,5172.0,4.0
3500,0.22,6208.0,4.0
4000,0.27,7252.0,4.0
4500,0.32,7252.0,4.0
5000,0.36,7204.0,4.0
6000,0.48,9252.0,4.0
7000,0.6,8228.0,4.0
8000,0.74,10348.0,4.0
9000,0.87,12844.0,4.0
10000,1.02,11624.0,4.0
