N,Time (s),Memory (MB),Passes
10,0.0,3.83,1.0
20,0.0,3.94,1.0
30,0.0,3.80,1.0
40,0.0,3.91,1.0
50,0.0,3.85,1.0
60,0.0,3.74,1.0
70,0.0,3.95,1.0
80,0.0,3.75,1.0
90,0.0,3.87,1.0
100,0.0,3.86,1.0
150,0.0,4.03,1.0
200,0.0,4.08,1.0
250,0.0,4.10,1.0
300,0.0,4.08,1.0
350,0.0,4.02,1.0
400,0.0,4.17,1.0
450,0.0,4.24,1.0
500,0.0,4.32,1.0
600,0.0,4.38,1.0
700,0.0,4.51,1.0
800,0.0,4.51,1.0
900,0.0,4.43,1.0
1000,0.01,4.76,1.0
1200,0.01,4.84,1.0
1400,0.01,4.97,1.0
1600,0.01,5.02,1.0
1800,0.01,5.39,1.0
2000,0.01,5.44,1.0
2500,0.02,6.25,1.0
3000,0.02,6.49,1.0
3500,0.03,7.09,1.0
4000,0.03,7.37,1.0
4500,0.03,7.94,1.0
5000,0.04,8.29,1.0
6000,0.05,9.97,1.0
7000,0.06,10.34,1.0
8000,0.08,12.50,1.0
9000,0.08,12.29,1.0
10000,0.1,14.02,1.0
