N,Time (s),Memory (MB),Passes
10,0.0,3.82,2.0
20,0.0,3.89,2.0
30,0.0,3.91,2.0
40,0.0,3.73,2.0
50,0.0,3.92,2.0
60,0.0,3.97,2.0
70,0.0,3.97,2.0
80,0.0,3.91,2.0
90,0.0,4.03,2.0
100,0.0,4.15,2.0
150,0.0,3.98,2.0
200,0.0,4.03,2.0
250,0.0,4.18,2.0
300,0.0,4.27,2.0
350,0.0,4.28,2.0
400,0.0,4.35,2.0
450,0.0,4.49,2.0
500,0.0,4.56,2.0
600,0.0,4.63,3.0
700,0.01,4.65,3.0
800,0.01,5.00,3.0
900,0.01,5.02,3.0
1000,0.01,5.13,3.0
1200,0.01,5.42,3.0
1400,0.01,5.58,3.0
1600,0.01,5.85,3.0
1800,0.01,6.33,3.0
2000,0.02,6.57,3.0
2500,0.02,7.27,3.0
3000,0.02,7.91,3.0
3500,0.03,8.46,3.0
4000,0.03,9.23,3.0
4500,0.04,9.71,3.0
5000,0.05,10.55,3.0
6000,0.05,11.53,3.0
7000,0.06,12.88,3.0
8000,0.06,14.19,3.0
9000,0.08,15.56,3.0
10000,0.1,16.78,3.0
