N,Time (s),Memory (MB),Passes
10,0.0,3.71,1.0
20,0.0,3.93,1.0
30,0.0,3.92,1.0
40,0.0,3.92,1.0
50,0.0,3.95,1.0
60,0.0,3.87,1.0
70,0.0,3.95,1.0
80,0.0,3.89,1.0
90,0.0,3.80,1.0
100,0.0,4.05,1.0
150,0.0,3.88,1.0
200,0.0,4.07,1.0
250,0.0,4.02,1.0
300,0.0,3.95,1.0
350,0.0,4.17,1.0
400,0.0,4.10,1.0
450,0.0,4.00,1.0
500,0.0,4.20,1.0
600,0.0,4.65,2.0
700,0.0,4.86,2.0
800,0.0,5.00,2.0
900,0.01,5.13,2.0
1000,0.01,5.29,2.0
1200,0.01,5.58,2.0
1400,0.01,5.77,2.0
1600,0.01,6.12,2.0
1800,0.01,6.37,2.0
2000,0.01,6.68,2.0
2500,0.02,7.37,2.0
3000,0.02,8.05,2.0
3500,0.02,8.79,2.0
4000,0.03,9.62,2.0
4500,0.03,9.91,2.0
5000,0.04,10.34,2.0
6000,0.05,12.15,2.0
7000,0.05,13.65,2.0
8000,0.06,14.56,2.0
9000,0.07,16.36,2.0
10000,0.07,17.42,2.0
