N,Time (s),Memory (KB),Passes
10,0.002,10144.0,2.0
20,0.002,10160.0,3.0
30,0.002,10160.0,3.2
40,0.004,10160.0,3.0
50,0.004,10160.0,3.2
60,0.004,10160.0,3.2
70,0.004,10176.0,3.2
80,0.006,10320.0,3.0
90,0.004,10176.0,3.4
100,0.004,10176.0,3.6
150,0.006,10192.0,3.6
200,0.006,10384.0,3.4
250,0.008,10224.0,3.0
300,0.008,10240.0,3.6
350,0.01,10288.0,3.6
400,0.012,10320.0,3.8
450,0.012,10304.0,3.4
500,0.014,10672.0,3.6
600,0.016,10368.0,3.4
700,0.02,10416.0,3.8
800,0.024,10448.0,3.8
900,0.026,10512.0,3.6
1000,0.03,10896.0,4.0
1200,0.038,10688.0,4.2
1400,0.048,10864.0,4.2
1600,0.056,11536.0,4.0
1800,0.064,11024.0,4.0
2000,0.07,11072.0,3.8
2500,0.094,11376.0,4.0
3000,0.12,11664.0,4.0
3500,0.144,11920.0,4.0
4000,0.17,12112.0,4.0
4500,0.198,12560.0,4.0
5000,0.228,12752.0,4.2
6000,0.286,13200.0,4.0
7000,0.352,13840.0,4.0
8000,0.426,14240.0,4.4
9000,0.482,17216.0,4.0
10000,0.548,17856.0,4.0
