N,Time (s),Memory (KB),Passes
10,0.002,10144.0,1.0
20,0.002,10176.0,1.0
30,0.002,10176.0,1.0
40,0.002,10192.0,1.0
50,0.002,10208.0,1.0
60,0.004,10224.0,1.0
70,0.004,10208.0,1.0
80,0.006,10224.0,1.0
90,0.004,10224.0,1.0
100,0.004,10240.0,1.0
150,0.004,10304.0,1.0
200,0.004,10368.0,1.0
250,0.004,10432.0,1.0
300,0.006,10544.0,1.0
350,0.006,10640.0,1.0
400,0.006,10752.0,1.0
450,0.006,10800.0,1.0
500,0.008,10912.0,1.0
600,0.01,11136.0,2.0
700,0.012,11328.0,2.0
800,0.014,12064.0,2.0
900,0.016,12112.0,2.0
1000,0.018,12272.0,2.0
1200,0.022,12176.0,2.0
1400,0.024,12768.0,2.0
1600,0.03,13056.0,2.0
1800,0.034,13360.0,2.0
2000,0.036,13616.0,2.0
2500,0.048,14384.0,2.0
3000,0.06,15456.0,2.0
3500,0.07,18224.0,2.0
4000,0.082,16864.0,2.0
4500,0.094,17984.0,2.0
5000,0.106,18768.0,2.0
6000,0.134,20464.0,2.0
7000,0.17,22448.0,2.0
8000,0.194,23728.0,2.0
9000,0.226,27520.0,2.0
10000,0.252,41360.0,2.0
