N,Time (s),Memory (KB),Passes
10,0.002,10144.0,2.0
20,0.004,10176.0,2.0
30,0.004,10176.0,2.0
40,0.004,10192.0,2.0
50,0.004,10224.0,2.0
60,0.006,10224.0,2.0
70,0.004,10224.0,2.0
80,0.004,10240.0,2.0
90,0.004,10448.0,3.0
100,0.004,10288.0,3.0
150,0.004,10352.0,3.0
200,0.006,10416.0,3.0
250,0.006,10480.0,3.0
300,0.008,10560.0,3.0
350,0.008,10656.0,3.0
400,0.01,10736.0,3.0
450,0.01,11536.0,3.0
500,0.012,10864.0,3.0
600,0.014,11056.0,3.0
700,0.018,12016.0,3.0
800,0.02,11376.0,3.0
900,0.026,12288.0,3.0
1000,0.026,12528.0,3.0
1200,0.034,12640.0,3.0
1400,0.044,13648.0,3.0
1600,0.052,13936.0,3.0
1800,0.06,14176.0,3.0
2000,0.068,14832.0,3.0
2500,0.092,15328.0,3.0
3000,0.128,16784.0,3.0
3500,0.146,17904.0,3.0
4000,0.176,16464.0,3.0
4500,0.206,18416.0,3.0
5000,0.238,20064.0,3.0
6000,0.308,21872.0,3.0
7000,0.38,24352.0,3.0
8000,0.464,26848.0,3.0
9000,0.546,29536.0,3.0
10000,0.636,40576.0,3.0
