N,Time (s),Memory (KB),Passes
10,0.002,10144.0,1.0
20,0.004,10176.0,1.0
30,0.004,10176.0,1.0
40,0.004,10192.0,1.0
50,0.004,10288.0,1.0
60,0.004,10224.0,1.0
70,0.004,10224.0,1.0
80,0.004,10240.0,1.0
90,0.004,10304.0,2.0
100,0.004,10320.0,2.0
150,0.004,10384.0,2.0
200,0.006,10848.0,2.0
250,0.006,10512.0,2.0
300,0.008,10624.0,2.0
350,0.008,10704.0,2.0
400,0.01,11072.0,2.0
450,0.01,11120.0,2.0
500,0.012,11344.0,2.0
600,0.014,11136.0,2.0
700,0.02,12688.0,2.0
800,0.022,11952.0,2.0
900,0.022,12752.0,2.0
1000,0.024,12944.0,2.0
1200,0.03,12704.0,2.0
1400,0.038,13632.0,2.0
1600,0.046,13920.0,2.0
1800,0.054,14464.0,2.0
2000,0.06,14656.0,2.0
2500,0.08,16096.0,2.0
3000,0.1,16080.0,2.0
3500,0.122,16144.0,2.0
4000,0.146,16864.0,2.0
4500,0.168,19712.0,2.0
5000,0.194,20272.0,2.0
6000,0.248,23760.0,2.0
7000,0.304,22752.0,2.0
8000,0.366,25984.0,2.0
9000,0.436,29712.0,2.0
10000,0.518,29120.0,2.0
