N,Time (s),Memory (KB),Passes
10,0.01,10144.0,2.0
20,0.01,10160.0,3.0
30,0.02,10160.0,3.0
40,0.02,10160.0,3.0
50,0.02,10160.0,3.0
60,0.01,10160.0,3.0
70,0.01,10144.0,4.0
80,0.01,10144.0,3.0
90,0.01,10160.0,4.0
100,0.01,10176.0,3.0
150,0.01,10176.0,3.0
200,0.02,10192.0,3.0
250,0.02,10192.0,3.0
300,0.02,10208.0,3.0
350,0.02,10240.0,3.0
400,0.02,10256.0,3.0
450,0.02,10416.0,4.0
500,0.02,10288.0,4.0
600,0.03,10304.0,3.0
700,0.03,10368.0,3.0
800,0.03,10384.0,4.0
900,0.04,10448.0,4.0
1000,0.04,10480.0,4.0
1200,0.05,10656.0,4.0
1400,0.06,10864.0,4.0
1600,0.07,10944.0,4.0
1800,0.08,10976.0,4.0
2000,0.1,10896.0,4.0
2500,0.14,11456.0,4.0
3000,0.14,11536.0,4.0
3500,0.17,11792.0,3.0
4000,0.19,11920.0,4.0
4500,0.33,12432.0,4.0
5000,0.26,12480.0,4.0
6000,0.31,12784.0,4.0
7000,0.35,13152.0,4.0
8000,0.42,13552.0,4.0
9000,0.48,14272.0,4.0
10000,0.57,14624.0,4.0
