N,Time (s),Memory (KB),Passes
10,0.01,10144.0,1.0
20,0.01,10176.0,1.0
30,0.01,10176.0,1.0
40,0.01,10192.0,1.0
50,0.01,10192.0,1.0
60,0.01,10208.0,1.0
70,0.01,10304.0,1.0
80,0.01,10240.0,1.0
90,0.01,10304.0,2.0
100,0.01,10320.0,2.0
150,0.01,10384.0,2.0
200,0.02,10448.0,2.0
250,0.02,10512.0,2.0
300,0.02,10576.0,2.0
350,0.02,10688.0,2.0
400,0.02,10768.0,2.0
450,0.02,10832.0,2.0
500,0.02,10928.0,2.0
600,0.02,11072.0,2.0
700,0.03,11248.0,2.0
800,0.03,11408.0,2.0
900,0.03,11568.0,2.0
1000,0.03,11696.0,2.0
1200,0.04,12048.0,2.0
1400,0.05,12464.0,2.0
1600,0.06,12736.0,2.0
1800,0.06,13056.0,2.0
2000,0.07,13328.0,2.0
2500,0.09,14176.0,2.0
3000,0.11,15008.0,2.0
3500,0.13,15824.0,2.0
4000,0.15,16736.0,2.0
4500,0.19,17840.0,2.0
5000,0.2,18416.0,2.0
6000,0.26,19808.0,2.0
7000,0.34,21248.0,2.0
8000,0.39,23248.0,2.0
9000,0.48,25248.0,2.0
10000,0.51,27200.0,2.0
