N,Time (s),Memory (KB),Passes
10,0.0,3992.0,2.0
20,0.0,3972.0,2.0
30,0.0,3888.0,2.0
40,0.0,3872.0,2.0
50,0.0,4016.0,2.0
60,0.0,4036.0,2.0
70,0.0,3932.0,2.0
80,0.0,4212.0,2.0
90,0.0,3876.0,2.0
100,0.0,4096.0,2.0
150,0.0,4180.0,2.0
200,0.0,4200.0,2.0
250,0.0,4272.0,2.0
300,0.0,4148.0,2.0
350,0.0,4328.0,2.0
400,0.0,4496.0,2.0
450,0.0,4528.0,2.0
500,0.0,4640.0,2.0
600,0.0,4560.0,3.0
700,0.01,4800.0,3.0
800,0.0,5028.0,3.0
900,0.01,5152.0,3.0
1000,0.0,5304.0,3.0
1200,0.01,5528.0,3.0
1400,0.01,5808.0,3.0
1600,0.01,6044.0,3.0
1800,0.01,6336.0,3.0
2000,0.02,6588.0,3.0
2500,0.02,7228.0,3.0
3000,0.03,7876.0,3.0
3500,0.03,8424.0,3.0
4000,0.03,9100.0,3.0
4500,0.04,10008.0,3.0
5000,0.05,10512.0,3.0
6000,0.05,11316.0,3.0
7000,0.06,12688.0,3.0
8000,0.07,13912.0,3.0
