N,Time (s),Memory (KB),Passes
10,0.0,3976.0,1.0
20,0.0,4004.0,1.0
30,0.0,3924.0,1.0
40,0.0,4180.0,1.0
50,0.0,3928.0,1.0
60,0.0,4208.0,1.0
70,0.0,3868.0,1.0
80,0.0,3996.0,1.0
90,0.0,4004.0,1.0
100,0.0,4104.0,1.0
150,0.0,3976.0,1.0
200,0.0,4168.0,1.0
250,0.0,4316.0,1.0
300,0.0,4252.0,1.0
350,0.0,4260.0,1.0
400,0.0,4168.0,1.0
450,0.0,4288.0,1.0
500,0.0,4312.0,1.0
600,0.0,4844.0,2.0
700,0.0,4848.0,2.0
800,0.0,5020.0,2.0
900,0.0,5188.0,2.0
1000,0.01,5332.0,2.0
1200,0.01,5584.0,2.0
1400,0.01,5980.0,2.0
1600,0.01,6260.0,2.0
1800,0.01,6444.0,2.0
2000,0.01,6844.0,2.0
2500,0.01,7440.0,2.0
3000,0.02,8240.0,2.0
3500,0.02,8772.0,2.0
4000,0.02,9568.0,2.0
4500,0.03,10036.0,2.0
5000,0.04,10656.0,2.0
6000,0.04,12444.0,2.0
7000,0.05,13960.0,2.0
8000,0.06,14856.0,2.0
9000,0.06,16796.0,2.0
10000,0.07,17796.0,2.0
