N,Time (s),Memory (KB),Passes
10,0.0,3928.0,1.0
20,0.0,3936.0,1.0
30,0.0,3924.0,1.0
40,0.0,3748.0,1.0
50,0.0,3944.0,1.0
60,0.0,3948.0,1.0
70,0.0,3780.0,1.0
80,0.0,3908.0,1.0
90,0.0,3976.0,1.0
100,0.0,4088.0,1.0
150,0.0,4152.0,1.0
200,0.0,3908.0,1.0
250,0.0,3952.0,1.0
300,0.0,4312.0,1.0
350,0.0,4240.0,1.0
400,0.0,4288.0,1.0
450,0.0,4348.0,1.0
500,0.0,4264.0,1.0
600,0.01,4360.0,1.0
700,0.01,4576.0,1.0
800,0.01,4480.0,1.0
900,0.01,4672.0,1.0
1000,0.01,4724.0,1.0
1200,0.02,4816.0,1.0
1400,0.02,5020.0,1.0
1600,0.02,5224.0,1.0
1800,0.03,5436.0,1.0
2000,0.03,5564.0,1.0
2500,0.05,6308.0,1.0
3000,0.06,6824.0,1.0
3500,0.08,7248.0,1.0
4000,0.1,7572.0,1.0
4500,0.12,8084.0,1.0
5000,0.12,8376.0,1.0
6000,0.16,10268.0,1.0
7000,0.24,10548.0,1.0
8000,0.28,13032.0,1.0
9000,0.34,12480.0,1.0
10000,0.36,14288.0,1.0
