N,Time (s),Memory (KB),Passes
10,0.0,4016.0,1.0
20,0.0,3908.0,1.0
30,0.0,3920.0,1.0
40,0.0,3984.0,1.0
50,0.0,3920.0,1.0
60,0.0,3928.0,1.0
70,0.0,4056.0,1.0
80,0.0,3884.0,1.0
90,0.0,4052.0,1.0
100,0.0,4040.0,1.0
150,0.0,4056.0,1.0
200,0.0,3976.0,1.0
250,0.0,4096.0,1.0
300,0.0,4020.0,1.0
350,0.0,4104.0,1.0
400,0.0,3948.0,1.0
450,0.0,4228.0,1.0
500,0.0,4124.0,1.0
600,0.0,4244.0,1.0
700,0.0,4252.0,1.0
800,0.0,4200.0,1.0
900,0.0,4120.0,1.0
1000,0.0,4352.0,1.0
1200,0.0,4668.0,1.0
1400,0.0,4644.0,1.0
1600,0.01,4936.0,1.0
1800,0.01,4968.0,1.0
2000,0.01,4816.0,1.0
2500,0.02,5592.0,1.0
3000,0.02,5592.0,1.0
3500,0.03,5872.0,1.0
4000,0.03,6404.0,1.0
4500,0.03,6668.0,1.0
5000,0.03,7116.0,1.0
6000,0.05,7548.0,1.0
7000,0.06,8608.0,1.0
8000,0.08,10100.0,1.0
9000,0.09,9940.0,1.0
10000,0.1,10144.0,1.0
