N,Time (s),Memory (KB),Passes
10,0.0,3956.0,2.0
20,0.0,3960.0,3.0
30,0.0,3964.0,3.0
40,0.0,3916.0,3.0
50,0.0,3748.0,3.0
60,0.0,3872.0,3.0
70,0.0,3972.0,3.0
80,0.0,3936.0,3.0
90,0.0,3980.0,3.0
100,0.0,3772.0,3.0
150,0.0,3908.0,3.0
200,0.0,3916.0,3.0
250,0.0,3984.0,4.0
300,0.0,4148.0,3.0
350,0.01,4092.0,4.0
400,0.0,4008.0,4.0
450,0.0,4140.0,4.0
500,0.01,4132.0,4.0
600,0.01,4104.0,4.0
700,0.01,4188.0,3.0
800,0.03,4312.0,4.0
900,0.02,4344.0,3.0
1000,0.02,4412.0,3.0
1200,0.04,4428.0,3.0
1400,0.06,4560.0,4.0
1600,0.07,4640.0,4.0
1800,0.07,4672.0,3.0
2000,0.1,4784.0,4.0
2500,0.15,4916.0,4.0
3000,0.18,5196.0,4.0
3500,0.19,5192.0,3.0
4000,0.27,5528.0,4.0
4500,0.26,5700.0,3.0
5000,0.38,5632.0,4.0
6000,0.5,5864.0,4.0
7000,0.66,6256.0,4.0
8000,0.77,6724.0,4.0
9000,0.93,7112.0,4.0
10000,1.11,7632.0,4.0
