N,Time (s),Memory (KB),Passes
10,0.0,3888.0,2.0
20,0.0,3920.0,2.0
30,0.0,3856.0,2.0
40,0.0,3884.0,2.0
50,0.0,3888.0,2.0
60,0.0,3920.0,2.0
70,0.0,3984.0,2.0
80,0.0,4064.0,2.0
90,0.0,3844.0,3.0
100,0.0,3976.0,3.0
150,0.0,4072.0,3.0
200,0.0,4160.0,3.0
250,0.0,4232.0,3.0
300,0.0,4268.0,3.0
350,0.0,4404.0,3.0
400,0.0,4468.0,3.0
450,0.01,4532.0,3.0
500,0.01,4496.0,3.0
600,0.01,4680.0,3.0
700,0.01,4856.0,3.0
800,0.02,4832.0,3.0
900,0.02,5120.0,3.0
1000,0.02,5032.0,3.0
1200,0.03,5304.0,3.0
1400,0.03,5560.0,3.0
1600,0.04,5920.0,3.0
1800,0.05,6076.0,3.0
2000,0.05,6548.0,3.0
2500,0.09,7228.0,3.0
3000,0.12,7820.0,3.0
3500,0.15,8464.0,3.0
4000,0.18,9228.0,3.0
4500,0.21,9728.0,3.0
5000,0.24,10352.0,3.0
6000,0.3,11436.0,3.0
7000,0.38,12636.0,3.0
8000,0.45,13980.0,3.0
9000,0.56,15304.0,3.0
10000,0.66,16560.0,3.0
