M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41020.0,1.0,0.09
2000,0.0009,44132.0,1.0,0.09
3000,0.0013,45164.0,1.0,0.08
4000,0.0016,47204.0,1.0,0.06
5000,0.002,48192.0,1.0,0.04
6000,0.0023,49288.0,1.0,0.04
7000,0.0025,50276.0,1.0,0.05
8000,0.003,51328.0,1.0,0.04
9000,0.0034000000000000002,52336.0,1.0,0.04
10000,0.0037,53344.0,1.0,0.04
12000,0.0040999999999999995,54376.0,1.0,0.04
14000,0.0049,55464.0,1.0,0.02
16000,0.0055000000000000005,56472.0,1.0,0.03
18000,0.0060999999999999995,57432.0,1.0,0.02
25000,0.022799999999999997,8252.0,1.01,74.85
30000,0.0344,8292.0,2.0,78.14
35000,0.038900000000000004,8300.0,2.0,80.93
40000,0.0435,8300.0,2.0,83.67
45000,0.0481,8292.0,2.0,86.44
50000,0.053,8296.0,2.0,89.0
60000,0.0625,8268.0,2.0,93.68
70000,0.0708,8300.0,2.02,97.95
80000,0.08109999999999999,8304.0,2.0,102.05
90000,0.09380000000000001,8300.0,2.01,106.11
100000,0.1026,8244.0,2.01,110.17
200000,0.17420000000000002,8352.0,2.01,148.96
300000,0.2555,8352.0,2.01,189.51
400000,0.33299999999999996,9336.0,2.0,230.63
500000,0.4061,8292.0,2.02,272.98
600000,0.4777,8296.0,2.0,316.17
