M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41068.0,1.0,0.09
2000,0.001,44120.0,1.0,0.09
3000,0.0013,45180.0,1.0,0.08
4000,0.0016,47192.0,1.0,0.06
5000,0.0019,48228.0,1.0,0.04
6000,0.0023,49244.0,1.0,0.04
7000,0.0027,50296.0,1.0,0.05
8000,0.0029,52300.0,1.0,0.04
9000,0.0033,52340.0,1.0,0.04
10000,0.0034999999999999996,53348.0,1.0,0.04
12000,0.0042,55376.0,1.0,0.04
14000,0.0049,55452.0,1.0,0.02
16000,0.005600000000000001,56440.0,1.0,0.03
18000,0.006,57444.0,1.0,0.02
25000,0.3044,8788.0,4.6,45.97
30000,0.3107,8788.0,4.82,47.49
35000,0.32030000000000003,9076.0,5.01,49.38
40000,0.3231,8764.0,5.02,51.57
45000,0.3312,9392.0,5.1,53.33
50000,0.3406,8764.0,5.24,54.91
60000,0.35609999999999997,8660.0,5.48,57.56
70000,0.37939999999999996,9392.0,5.7,60.26
80000,0.3957,8304.0,5.94,63.15
90000,0.4156,8300.0,6.17,66.07
100000,0.44079999999999997,9040.0,6.42,68.94
200000,0.7615000000000001,8296.0,9.23,96.51
300000,1.2368999999999999,8308.0,12.49,126.09
400000,1.9528999999999999,9292.0,16.22,157.33
500000,2.8024,8316.0,20.11,188.94
600000,3.9481,8260.0,24.09,221.01
