M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.00065,377924.0,1.0,0.122
2000,0.00174,403508.0,1.0,0.19
3000,0.00172,428108.0,1.0,0.325
4000,0.0023599999999999997,458812.0,1.0,0.403
5000,0.00412,493656.0,1.0,0.471
6000,0.0035,528452.0,1.0,0.408
7000,0.0039900000000000005,557160.0,1.0,0.362
8000,0.00455,582696.0,1.0,0.298
9000,0.00741,601172.0,1.0,0.215
10000,0.008150000000000001,615480.0,1.0,0.206
12000,0.00932,636012.0,1.0,0.17
14000,0.01089,649268.0,1.0,0.119
16000,0.011810000000000001,657456.0,1.0,0.065
18000,0.01289,663612.0,1.0,0.05
25000,0.01133,682020.0,1.0,28.803
30000,0.01982,694312.0,1.0,90.174
35000,0.02183,691260.0,1.0,204.539
40000,0.01638,701532.0,1.0,590.626
45000,0.027149999999999997,710720.0,1.0,1109.45
50000,0.02944,709704.0,1.0,1509.59
60000,0.16827,11300.0,1.077,8141.4
70000,0.19511,12352.0,1.116,8393.49
80000,0.20342,12324.0,1.131,8584.51
90000,0.21881,12384.0,1.136,8737.37
100000,0.18719999999999998,13296.0,1.137,8860.49
200000,0.28744,13380.0,1.138,9425.94
300000,0.31148000000000003,13384.0,1.138,9620.27
400000,0.50748,12324.0,1.138,9716.92
500000,0.52134,12360.0,1.138,9775.61
600000,0.68267,12408.0,1.138,9814.54
700000,0.74913,12324.0,1.138,9842.61
800000,0.62734,13384.0,1.138,9864.14
900000,0.80168,12324.0,1.138,9880.22
1000000,1.03397,13372.0,1.138,9893.14
2000000,1.9133399999999998,12324.0,1.138,9950.45
4000000,2.83079,13376.0,1.138,9977.57
