M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.00064,377908.0,1.0,0.122
2000,0.00172,402536.0,1.0,0.19
3000,0.0025099999999999996,429092.0,1.0,0.325
4000,0.00229,458812.0,1.0,0.403
5000,0.00415,493628.0,1.0,0.471
6000,0.00347,528444.0,1.0,0.408
7000,0.005730000000000001,557176.0,1.0,0.362
8000,0.00661,582748.0,1.0,0.298
9000,0.00733,601164.0,1.0,0.215
10000,0.008150000000000001,615520.0,1.0,0.206
12000,0.00933,637020.0,1.0,0.17
14000,0.01072,648264.0,1.0,0.119
16000,0.011890000000000001,657480.0,1.0,0.065
18000,0.01291,663608.0,1.0,0.05
25000,0.0167,683104.0,1.0,28.803
30000,0.019149999999999997,693324.0,1.0,90.174
35000,0.016210000000000002,688168.0,1.0,204.539
40000,0.02461,700480.0,1.0,590.626
45000,0.02809,710700.0,1.0,1109.45
50000,0.02972,710744.0,1.0,1509.59
60000,0.03516,702520.0,1.0,1659.93
70000,0.039369999999999995,699432.0,1.0,1581.67
80000,0.03172,706632.0,1.0,1482.32
90000,0.03561,705600.0,1.0,1386.08
100000,0.04357,691308.0,1.0,1300.92
200000,0.21818,16420.0,2.0,9525.27
300000,0.21706999999999999,16452.0,2.0,9689.75
400000,0.37632,16472.0,2.0,9772.69
500000,0.48978,16428.0,2.0,9822.17
600000,0.46209,16452.0,2.0,9855.16
700000,0.66007,16464.0,2.0,9878.54
800000,0.47222000000000003,16464.0,2.0,9895.15
900000,0.8490700000000001,17464.0,2.0,9908.26
1000000,0.93252,16420.0,2.0,9918.55
2000000,2.41807,16420.0,3.0,9958.87
4000000,4.988149999999999,16420.0,3.0,9980.59
6000000,7.5347,16420.0,3.0,9988.36
8000000,8.507790000000002,16420.0,3.0,9992.04
