N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4168.0,1.0,2.32
20,0.0,4196.0,1.0,2.32
30,0.0,4236.0,1.0,1.7
40,0.0001,4180.0,2.02,24.64
50,0.0002,4168.0,2.04,28.23
60,0.0003,4188.0,2.04,31.79
70,0.0003,4168.0,2.04,34.81
80,0.0004,4216.0,2.06,38.08
90,0.0004,4176.0,2.04,41.38
100,0.0005,4172.0,2.08,43.33
200,0.0012,4196.0,2.1,63.0
300,0.002,4168.0,2.19,77.74
400,0.0029,4196.0,2.18,82.7
500,0.0034999999999999996,4196.0,2.13,87.34
600,0.0046,4180.0,2.23,93.81
700,0.0054,4168.0,2.21,92.72
800,0.0063,4196.0,2.18,96.43
900,0.0073,4196.0,2.23,93.78
1000,0.0084,4196.0,2.28,102.64
1200,0.0104,4180.0,2.3,95.99
1400,0.0123,4168.0,2.21,105.19
1600,0.0147,4168.0,2.31,96.62
1800,0.0165,3136.0,2.25,100.52
2000,0.0191,3108.0,2.38,108.84
2500,0.0256,5192.0,2.36,108.7
3000,0.0296,4132.0,2.27,110.73
3500,0.0363,5208.0,2.36,111.52
4000,0.0417,5196.0,2.35,110.27
