N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4168.0,1.0,2.32
20,0.0,4180.0,1.0,2.32
30,0.0,4196.0,1.0,1.7
40,0.0,4184.0,1.0,1.58
50,0.0,4244.0,1.0,0.96
60,0.0001,4164.0,1.0,0.88
70,0.0001,4252.0,1.0,0.73
80,0.0001,4168.0,1.0,0.63
90,0.0001,4168.0,1.0,0.82
100,0.0002,4168.0,1.0,0.4
200,0.0004,5192.0,1.0,0.11
300,0.0007000000000000001,6236.0,1.0,0.23
400,0.0009,6216.0,1.0,0.29
500,0.0013,7296.0,1.0,0.1
600,0.0015,7268.0,1.0,0.06
700,0.0018,8320.0,1.0,0.01
800,0.0021,9292.0,1.0,0.01
900,0.0025,9312.0,1.0,0.18
1000,0.0028000000000000004,10324.0,1.0,0.03
1200,0.0125,5216.0,2.0,75.38
1400,0.015300000000000001,4188.0,2.0,84.62
1600,0.018000000000000002,5156.0,2.0,71.46
1800,0.021,6212.0,2.0,74.75
2000,0.024,6216.0,2.0,79.59
2500,0.030600000000000002,7240.0,2.0,75.95
3000,0.0378,8264.0,2.0,74.31
3500,0.0461,8292.0,2.01,73.03
4000,0.0526,8264.0,2.0,67.92
4500,0.059699999999999996,9300.0,2.02,70.05
5000,0.0692,9252.0,2.01,78.43
6000,0.08529999999999999,10276.0,2.01,71.62
7000,0.1009,12356.0,2.02,73.07
8000,0.1182,13376.0,2.0,72.09
9000,0.1341,14400.0,2.0,64.39
10000,0.1509,17172.0,2.0,63.86
