N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3188.0,1.0,2.35
20,0.0,3124.0,1.0,2.29
30,0.0,3148.0,1.0,1.94
40,0.0,3144.0,1.0,1.57
50,0.0001,3136.0,1.0,1.14
60,0.0001,3224.0,1.0,1.01
70,0.0001,3188.0,1.0,1.02
80,0.0002,3180.0,1.0,0.5
90,0.0002,3180.0,1.0,0.93
100,0.0003,3180.0,1.0,0.73
200,0.0027,3180.0,2.0,87.07
300,0.005,3124.0,2.0,116.3
400,0.0076,3124.0,2.0,134.04
500,0.0106,3240.0,2.0,148.26
600,0.013999999999999999,4252.0,2.01,163.46
700,0.0173,4204.0,2.01,168.58
800,0.022000000000000002,4212.0,2.05,179.8
900,0.026099999999999998,4192.0,2.07,179.2
1000,0.0305,4224.0,2.07,195.95
1200,0.04,4236.0,2.05,199.22
1400,0.049699999999999994,5224.0,2.05,226.21
1600,0.0605,5240.0,2.07,220.25
1800,0.0722,5244.0,2.08,237.1
2000,0.083,5280.0,2.1,258.96
2500,0.1159,6212.0,2.09,287.02
3000,0.1459,7272.0,2.03,298.97
3500,0.18100000000000002,8268.0,2.01,323.34
4000,0.2231,8308.0,2.04,337.6
4500,0.2656,9328.0,2.02,363.26
5000,0.3098,9304.0,2.04,409.87
6000,0.40130000000000005,11364.0,2.01,422.92
7000,0.508,12356.0,2.0,461.06
