N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3172.0,2.99,9.42
20,0.0001,3192.0,3.0,15.59
30,0.0001,3168.0,3.02,21.1
40,0.0003,3172.0,3.0,26.39
50,0.0003,3172.0,3.03,30.65
60,0.0005,3228.0,3.04,35.75
70,0.0006,3136.0,3.01,39.46
80,0.0007000000000000001,3172.0,3.01,44.06
90,0.0008,3180.0,3.02,48.42
100,0.001,3196.0,3.02,51.77
200,0.003,3188.0,3.13,86.83
300,0.005600000000000001,3136.0,3.21,115.99
400,0.0085,3176.0,3.28,134.02
500,0.013000000000000001,3188.0,3.37,147.81
600,0.016,3196.0,3.34,162.27
700,0.0203,3172.0,3.36,168.27
800,0.025099999999999997,3188.0,3.42,179.66
900,0.029300000000000003,3180.0,3.43,177.99
1000,0.0349,4168.0,3.41,195.56
1200,0.0464,3180.0,3.41,199.14
1400,0.0582,3140.0,3.39,225.06
1600,0.0736,4220.0,3.46,219.25
1800,0.0855,4228.0,3.46,235.2
2000,0.1038,4208.0,3.51,257.72
2500,0.1441,4200.0,3.49,286.29
3000,0.1883,4180.0,3.54,297.79
3500,0.242,4148.0,3.56,322.15
4000,0.2956,5240.0,3.57,335.84
4500,0.35350000000000004,5224.0,3.63,360.99
5000,0.4232,5220.0,3.68,408.79
6000,0.5457,5272.0,3.61,422.29
7000,0.7014,6300.0,3.64,459.89
