N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3232.0,3.08,9.43
20,0.0,3172.0,3.98,15.78
30,0.0002,3176.0,4.54,20.93
40,0.0004,3128.0,5.06,26.42
50,0.0005,3172.0,5.34,30.63
60,0.0007000000000000001,3188.0,5.75,35.49
70,0.0009,3180.0,6.08,39.81
80,0.0012,3172.0,6.25,44.12
90,0.0015,3228.0,6.57,48.79
100,0.0018,3168.0,6.69,51.9
200,0.0063,3224.0,8.33,86.41
300,0.0128,3172.0,9.3,114.78
400,0.0213,3180.0,10.09,132.3
500,0.0315,3172.0,10.78,140.84
600,0.0433,4164.0,11.44,155.22
700,0.057800000000000004,3148.0,12.05,156.54
800,0.0756,3180.0,12.57,164.57
900,0.09230000000000001,3176.0,13.11,161.65
1000,0.1114,3148.0,13.54,176.28
1200,0.16260000000000002,3180.0,14.94,172.89
1400,0.2188,3136.0,15.76,195.94
1600,0.2933,4200.0,16.91,183.64
1800,0.36219999999999997,4196.0,17.89,197.54
2000,0.4399,4204.0,18.66,214.32
2500,0.6829000000000001,4216.0,21.15,235.14
3000,1.018,4204.0,23.3,237.65
3500,1.3271000000000002,5184.0,24.86,255.07
4000,1.7734,5220.0,26.78,260.83
4500,2.1982,5184.0,28.06,275.44
5000,2.7316000000000003,6244.0,29.75,321.93
6000,3.9394,5256.0,32.7,320.01
7000,5.1654,6252.0,34.91,345.26
