N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3196.0,1.0,2.35
20,0.0,3136.0,1.0,2.29
30,0.0001,3148.0,2.0,20.99
40,0.0002,3188.0,2.0,26.41
50,0.0002,4164.0,2.0,30.69
60,0.0003,4172.0,2.0,36.01
70,0.0003,3172.0,2.0,39.61
80,0.0004,3228.0,2.0,43.52
90,0.0005,3184.0,2.0,48.4
100,0.0007000000000000001,3128.0,2.02,51.77
200,0.0026,3180.0,2.97,86.72
300,0.004699999999999999,3224.0,3.0,114.78
400,0.0074,3136.0,3.03,131.55
500,0.0109,3176.0,3.28,139.23
600,0.015300000000000001,3176.0,3.53,152.66
700,0.0204,3196.0,3.75,149.6
800,0.0273,3180.0,4.08,158.23
900,0.0347,3196.0,4.53,151.72
1000,0.0415,4236.0,4.63,167.09
1200,0.06,4160.0,4.96,154.87
1400,0.08410000000000001,4164.0,5.54,180.26
1600,0.1093,5200.0,5.89,162.77
1800,0.13849999999999998,4220.0,6.34,176.43
2000,0.1672,4252.0,6.54,191.84
2500,0.2688,5276.0,7.52,204.51
3000,0.38439999999999996,5220.0,8.33,202.69
3500,0.5134000000000001,6264.0,8.92,217.56
4000,0.6773,6208.0,9.72,216.83
4500,0.8499,6244.0,10.15,227.08
5000,1.024,7260.0,10.69,272.47
6000,1.4882,7284.0,11.87,259.24
7000,1.9878,8300.0,12.77,282.04
