N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4188.0,1.99,10.0
20,0.0001,4156.0,2.65,20.0
30,0.0003,4172.0,2.98,30.0
40,0.0006,4184.0,3.17,40.0
50,0.0011,4136.0,3.51,50.0
60,0.0017000000000000001,3192.0,3.7,60.0
70,0.0023,3188.0,3.86,70.0
80,0.0032,4172.0,3.95,80.0
90,0.004,3172.0,4.01,90.0
100,0.0052,4192.0,4.08,100.0
200,0.0246,4160.0,4.9,200.0
300,0.0596,4180.0,5.13,300.0
400,0.1115,3108.0,5.56,400.0
500,0.17980000000000002,4144.0,5.77,500.0
600,0.2673,4180.0,5.96,600.0
700,0.3657,4172.0,6.05,700.0
800,0.5047,3128.0,6.23,800.0
900,0.6475,3112.0,6.36,900.0
1000,0.7822,3108.0,6.4,1000.0
1200,1.2045000000000001,3172.0,6.74,1200.0
1400,1.7234,4168.0,6.93,1400.0
1600,2.291,5212.0,6.93,1600.0
1800,2.8616,4132.0,7.02,1800.0
2000,3.5754,4160.0,7.15,2000.0
2500,5.8619,4164.0,7.41,2500.0
3000,8.663400000000001,4136.0,7.57,3000.0
3500,11.9749,4212.0,7.86,3500.0
4000,15.662,5156.0,7.95,4000.0
4500,20.7408,5180.0,8.01,4500.0
5000,25.7379,6180.0,8.13,5000.0
6000,38.0396,6196.0,8.3,6000.0
7000,52.7598,6204.0,8.46,7000.0
8000,70.3489,7204.0,8.76,8000.0
9000,89.9612,8228.0,8.8,9000.0
10000,111.2991,9220.0,8.97,10000.0
