N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3180.58,1.0,0.0
20,0.0,3180.748,1.0,0.0
30,0.0,3181.484,1.0,0.0
40,0.0,3182.18,1.0,0.0
50,0.0,3181.736,1.0,0.0
60,0.0,3183.144,1.0,0.0
70,0.0,3182.06,1.0,0.0
80,0.0,3180.74,1.0,0.0
90,0.0,3182.288,1.0,0.0
100,0.0,3181.284,1.0,0.0
200,0.0,3182.164,1.0,0.0
300,0.0,3182.936,1.0,0.0
400,0.0,3184.984,1.0,0.0
500,0.0,3182.636,1.0,0.0
600,0.0,3182.76,1.0,0.0
700,0.0,3182.788,1.0,0.0
800,0.0,3183.524,1.0,0.0
900,0.0,3182.796,1.0,0.0
1000,0.0,3183.352,1.0,0.0
1200,0.010019999999999831,3181.7,2.864,1078.382
1400,0.015179999999999753,3182.568,2.907,1259.777
1600,0.019039999999999706,3183.004,2.887,1441.25
1800,0.02008999999999967,3182.916,2.938,1622.673
2000,0.02757000000000016,4200.816,2.95,1805.074
2500,0.03747999999999965,4206.3,2.988,2259.895
3000,0.04862999999999937,4206.388,2.995,2715.882
3500,0.05954000000000061,4206.352,2.997,3172.48
4000,0.07029999999999965,4208.1,3.027,3630.354
4500,0.08130999999999892,5215.104,3.03,4086.916
5000,0.093500000000001,5224.824,3.031,4545.753
6000,0.12204000000000134,5214.468,3.051,5461.733
7000,0.15022000000000224,6249.22,3.045,6379.833
8000,0.18027000000000282,6252.652,3.052,7299.396
9000,0.2115400000000006,6253.56,3.071,8218.099
10000,0.24430000000000224,7274.06,3.063,9139.673
