N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3183.6,1.0,0.0
20,0.0,3169.6,1.0,0.0
30,0.0,3175.2,1.0,0.0
40,0.0,3180.0,1.0,0.0
50,0.0,3180.4,1.0,0.0
60,0.0,3189.2,1.0,0.0
70,0.0,3186.0,1.0,0.0
80,0.0,3186.4,1.0,0.0
90,0.0,3176.8,1.0,0.0
100,0.0,3174.4,1.0,0.0
200,0.0,3176.0,1.0,0.0
300,0.0,3176.8,1.0,0.0
400,0.0,3187.6,1.0,0.0
500,0.0,3178.0,1.0,0.0
600,0.0,3188.4,1.0,0.0
700,0.0,3191.2,1.0,0.0
800,0.0,3191.6,1.0,0.0
900,0.0,3193.6,1.0,0.0
1000,0.0,3195.6,1.0,0.0
1200,0.008,3489.6,1.0,1079.5
1400,0.009999999999999998,4192.0,1.0,1254.6
1600,0.009999999999999998,4216.8,1.0,1447.7
1800,0.011999999999999999,4200.0,1.0,1626.6
2000,0.015000000000000003,4198.0,1.0,1800.7
2500,0.020999999999999998,4610.0,1.0,2258.1
3000,0.030000000000000006,5225.6,1.0,2711.0
3500,0.040999999999999995,5237.6,1.0,3177.8
4000,0.04599999999999999,5429.2,1.0,3630.4
4500,0.05800000000000001,6254.0,1.0,4080.9
5000,0.06400000000000002,6358.4,1.0,4538.1
6000,0.086,7276.0,1.0,5458.6
7000,0.10900000000000001,8202.4,1.0,6378.8
8000,0.12799999999999997,8709.2,1.0,7307.7
9000,0.15099999999999997,9833.6,1.0,8213.3
10000,0.173,10560.0,1.0,9143.1
