N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3183.6,3.1,9.6
20,0.0,3182.8,4.0,18.2
30,0.0,3180.8,4.7,27.1
40,0.0,3184.8,4.7,36.3
50,0.0,3178.8,5.4,45.8
60,0.0,3203.6,5.5,54.2
70,0.0,3181.2,5.8,61.7
80,0.0,3181.6,5.6,70.0
90,0.0,3166.4,6.1,81.1
100,0.0,3191.2,6.1,89.2
200,0.0,3194.4,7.6,178.5
300,0.0,3180.4,8.0,267.8
400,0.003,3170.0,8.3,356.9
500,0.009,3190.0,8.7,446.6
600,0.009999999999999998,3188.0,8.7,535.1
700,0.009999999999999998,3192.4,8.9,630.5
800,0.013999999999999999,3185.6,9.0,717.2
900,0.019999999999999997,3191.6,9.3,808.0
1000,0.020999999999999998,3174.8,9.2,895.3
1200,0.030000000000000006,3183.6,9.5,1079.6
1400,0.03799999999999999,3171.6,9.9,1261.1
1600,0.045,3174.4,10.2,1443.2
1800,0.052000000000000005,4224.8,10.1,1629.4
2000,0.06200000000000001,4216.8,10.5,1800.1
2500,0.078,4214.0,10.4,2264.4
3000,0.09999999999999999,4213.6,11.0,2717.0
3500,0.12000000000000002,4209.2,11.0,3181.5
4000,0.13799999999999998,5221.2,10.7,3644.4
4500,0.16399999999999998,5236.0,11.3,4093.2
5000,0.18999999999999997,5246.0,11.4,4557.6
6000,0.225,6265.6,11.1,5479.8
7000,0.278,6252.8,11.3,6396.2
8000,0.3350000000000001,7275.6,11.8,7306.7
9000,0.372,7287.2,11.6,8238.9
10000,0.43400000000000005,8295.2,11.8,9147.5
