N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,2.9999999999999997e-05,5168.0,1.0,2.521
20,5e-05,5208.0,1.0,4.515
30,0.0001,6208.0,1.0,6.136
40,0.00011999999999999999,7240.0,1.0,7.478
50,0.00019,7232.0,1.0,8.789
60,0.00023999999999999998,7216.0,1.0,9.994
70,0.00020999999999999998,9312.0,1.0,11.072
80,0.00037,8288.0,1.0,12.189
90,0.00046,9264.0,1.0,13.057
100,0.0005200000000000001,11352.0,1.0,14.063
200,0.00248,4152.0,1.0,189.639
300,0.0035800000000000003,3108.0,1.0,286.219
400,0.0068,3108.0,1.0,383.491
500,0.00916,3132.0,1.0,481.093
600,0.01266,3136.0,1.0,578.809
700,0.01537,3148.0,1.0,676.741
800,0.01912,3104.0,1.0,774.571
900,0.02153,4176.0,1.0,872.664
1000,0.0268,4132.0,1.0,971.014
1200,0.0375,3108.0,1.0,1167.43
1400,0.0474,4132.0,1.0,1364.6
1600,0.05713,4132.0,1.0,1561.55
1800,0.06512000000000001,4148.0,1.0,1759.05
2000,0.07895999999999999,5188.0,1.0,1956.24
2500,0.10962999999999999,6200.0,1.0,2450.41
3000,0.14409,6180.0,1.0,2944.83
3500,0.18528,8256.0,1.0,3439.98
4000,0.22857,7244.0,1.0,3935.23
4500,0.20391,7280.0,1.0,4431.21
5000,0.33194999999999997,9252.0,1.0,4926.77
6000,0.33206,10168.0,1.0,5919.25
7000,0.5591499999999999,10276.0,1.0,6911.55
8000,0.50748,12844.0,1.0,7904.71
9000,0.8553999999999999,13228.0,1.0,8898.34
10000,0.98038,14160.0,1.0,9893.03
