N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,1e-05,5176.0,1.0,2.521
20,5e-05,4164.0,1.0,4.515
30,0.0002,4152.0,1.971,27.904
40,0.00029,4172.0,1.992,37.068
50,0.00027,4160.0,2.0,46.567
60,0.00035,4144.0,2.0,55.958
70,0.00041999999999999996,3216.0,2.0,65.28
80,0.0007700000000000001,3188.0,2.0,74.861
90,0.00063,3188.0,2.0,84.393
100,0.00106,4152.0,2.0,93.797
200,0.00196,4172.0,2.0,190.232
300,0.00432,3136.0,2.0,287.735
400,0.00754,4164.0,2.0,385.506
500,0.007019999999999999,4152.0,2.001,483.769
600,0.00941,3108.0,2.073,581.903
700,0.01325,3192.0,2.304,681.332
800,0.019440000000000002,3144.0,2.701,780.577
900,0.02428,3136.0,2.911,879.492
1000,0.03847,5192.0,2.976,977.843
1200,0.03882,4132.0,3.0,1174.34
1400,0.04690999999999999,5156.0,3.0,1371.46
1600,0.06285,4132.0,3.0,1568.49
1800,0.07661,4132.0,3.0,1766.41
2000,0.08489000000000001,4132.0,3.0,1963.72
2500,0.11545,5156.0,3.0,2458.44
3000,0.17189,5156.0,3.0,2953.98
3500,0.18541,6232.0,3.0,3449.55
4000,0.22466,6180.0,3.0,3945.9
4500,0.26072,7316.0,3.0,4441.78
5000,0.41385,7204.0,3.0,4939.39
6000,0.41758999999999996,9284.0,3.0,5932.57
7000,0.54341,9264.0,3.0,6927.12
8000,0.59357,10288.0,3.0,7921.77
9000,0.7687200000000001,11200.0,3.0,8916.78
10000,0.90667,12180.0,3.0,9912.65
