N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4184.0,1.0,3.0
20,0.0,4176.0,1.0,4.0
30,0.0,4152.0,2.0,29.0
40,0.0,4176.0,2.0,37.0
50,0.0,4156.0,2.0,48.0
60,0.0,3140.0,2.0,55.0
70,0.0,4168.0,2.0,65.0
80,0.0,3132.0,2.0,74.0
90,0.0,4176.0,2.0,85.0
100,0.0,4172.0,2.0,95.0
200,0.0,4168.0,2.0,190.0
300,0.0,4176.0,2.0,282.0
400,0.0,4176.0,2.0,376.0
500,0.01,3124.0,2.0,483.0
600,0.01,4148.0,2.0,579.0
700,0.02,4172.0,2.0,680.0
800,0.02,4144.0,2.0,776.0
900,0.02,4176.0,2.0,878.0
1000,0.03,5192.0,2.0,979.0
1200,0.03,5168.0,2.0,1168.0
1400,0.05,4148.0,2.0,1374.0
1600,0.06,4172.0,2.0,1571.0
1800,0.07,5184.0,2.0,1771.0
2000,0.08,5172.0,2.0,1971.0
2500,0.12,6180.0,2.0,2468.0
3000,0.16,6200.0,2.0,2962.0
3500,0.19,7244.0,2.0,3459.0
4000,0.24,7240.0,2.0,3956.0
4500,0.29,7252.0,2.0,4437.0
5000,0.34,8272.0,2.0,4953.0
6000,0.45,9268.0,2.0,5939.0
7000,0.57,9268.0,2.0,6933.0
8000,0.67,10292.0,2.0,7925.0
9000,0.79,11320.0,2.0,8941.0
10000,0.94,12340.0,2.0,9921.0
