M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41044.0,1.0,0.09
2000,0.0009,44156.0,1.0,0.09
3000,0.0014000000000000002,45156.0,1.0,0.08
4000,0.0016,47204.0,1.0,0.06
5000,0.0019,48208.0,1.0,0.04
6000,0.0023,49260.0,1.0,0.04
7000,0.0026,50276.0,1.0,0.05
8000,0.003,51324.0,1.0,0.04
9000,0.0032,52328.0,1.0,0.04
10000,0.0036,53320.0,1.0,0.04
12000,0.0043,54372.0,1.0,0.04
14000,0.0049,55436.0,1.0,0.02
16000,0.0055000000000000005,57424.0,1.0,0.03
18000,0.0062,57420.0,1.0,0.02
25000,0.027000000000000003,6244.0,2.43,74.67
30000,0.0315,6220.0,2.41,77.9
35000,0.0359,6268.0,2.47,80.62
40000,0.0407,6252.0,2.44,83.31
45000,0.0438,6216.0,2.43,86.08
50000,0.0496,6300.0,2.44,88.7
60000,0.0582,6244.0,2.46,93.43
70000,0.0663,8268.0,2.45,97.73
80000,0.0755,7280.0,2.48,101.76
90000,0.08289999999999999,7280.0,2.44,105.72
100000,0.0933,7232.0,2.45,109.88
200000,0.1805,7232.0,2.47,148.59
300000,0.2692,7232.0,2.43,189.14
400000,0.34340000000000004,7272.0,2.38,230.24
500000,0.4393,7280.0,2.42,272.65
600000,0.5226,7284.0,2.43,315.78
