M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41092.0,1.0,0.09
2000,0.0009,44148.0,1.0,0.09
3000,0.0012,45208.0,1.0,0.08
4000,0.0017000000000000001,47224.0,1.0,0.06
5000,0.0019,48248.0,1.0,0.04
6000,0.0023,49216.0,1.0,0.04
7000,0.0026,50332.0,1.0,0.05
8000,0.0029,51360.0,1.0,0.04
9000,0.0032,52340.0,1.0,0.04
10000,0.0034999999999999996,53312.0,1.0,0.04
12000,0.0042,54392.0,1.0,0.04
14000,0.0048,55400.0,1.0,0.02
16000,0.0055000000000000005,56432.0,1.0,0.03
18000,0.0060999999999999995,57472.0,1.0,0.02
25000,0.008199999999999999,60552.0,1.0,0.02
30000,0.0097,62600.0,1.0,0.0
35000,0.011200000000000002,63552.0,1.0,0.06
40000,0.0124,64612.0,1.0,0.07
45000,0.013999999999999999,65660.0,1.0,0.06
50000,0.015600000000000001,66624.0,1.0,0.05
60000,0.0179,67736.0,1.0,0.01
70000,0.020499999999999997,69732.0,1.0,0.0
80000,0.0235,71756.0,1.0,0.02
90000,0.0263,72768.0,1.0,0.01
100000,0.0282,73804.0,1.0,0.0
200000,0.16140000000000002,16272.0,2.0,74.09
300000,0.3097,15460.0,3.0,97.92
400000,0.5059,15476.0,3.99,122.06
500000,0.8109000000000001,16404.0,4.98,146.44
600000,1.2028,16008.0,5.87,169.42
