N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4216.0,1.0,2.32
20,0.0,4196.0,1.0,2.32
30,0.0,4168.0,1.0,1.7
40,0.0,4168.0,1.0,1.58
50,0.0,4168.0,1.0,0.96
60,0.0001,4168.0,1.0,0.88
70,0.0001,4168.0,1.0,0.73
80,0.0001,4168.0,1.0,0.63
90,0.0001,4168.0,1.0,0.82
100,0.0002,4224.0,1.0,0.4
200,0.0004,5216.0,1.0,0.11
300,0.0007000000000000001,6212.0,1.0,0.23
400,0.0009,6216.0,1.0,0.29
500,0.0012,7340.0,1.0,0.1
600,0.0015,7240.0,1.0,0.06
700,0.0018,8264.0,1.0,0.01
800,0.0021,9288.0,1.0,0.01
900,0.0024,9288.0,1.0,0.18
1000,0.0027,9252.0,1.0,0.03
1200,0.01,4204.0,1.0,95.79
1400,0.0116,5192.0,1.05,105.4
1600,0.0138,6236.0,1.06,96.71
1800,0.0161,5200.0,1.11,101.03
2000,0.023399999999999997,5168.0,1.89,108.85
2500,0.0311,7260.0,2.0,109.18
3000,0.0368,7268.0,2.0,110.98
3500,0.0438,7216.0,2.0,112.01
4000,0.0507,9288.0,2.0,111.16
4500,0.0587,9284.0,2.0,113.56
5000,0.0664,10312.0,2.0,123.36
6000,0.08199999999999999,11364.0,2.0,121.86
7000,0.09939999999999999,12368.0,2.0,124.63
8000,0.1131,14464.0,2.0,127.11
9000,0.13949999999999999,14416.0,2.0,122.44
10000,0.15410000000000001,16420.0,2.0,123.06
