N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4168.0,1.0,2.32
20,0.0,4224.0,1.0,2.32
30,0.0,4168.0,1.0,1.7
40,0.0001,3108.0,2.0,24.46
50,0.0002,4168.0,2.0,27.76
60,0.0002,4188.0,2.0,31.71
70,0.0004,4168.0,2.0,34.38
80,0.0003,4168.0,2.03,37.45
90,0.0004,4168.0,2.05,41.21
100,0.0005,4176.0,2.07,43.44
200,0.0013,4196.0,2.62,62.27
300,0.0021,4184.0,2.63,76.07
400,0.0031,4168.0,2.62,79.4
500,0.0042,4192.0,2.71,82.15
600,0.0052,4168.0,2.77,86.73
700,0.0067,4168.0,2.93,83.09
800,0.008,4224.0,2.95,86.15
900,0.0095,4184.0,2.96,79.63
1000,0.011000000000000001,5188.0,3.0,87.65
1200,0.014199999999999999,5192.0,2.98,76.64
1400,0.018799999999999997,5192.0,3.18,86.59
1600,0.0217,5204.0,3.04,73.75
1800,0.026000000000000002,4164.0,3.15,76.56
2000,0.0296,5248.0,3.1,82.45
2500,0.0395,6284.0,3.07,79.18
3000,0.0501,5156.0,3.12,77.11
3500,0.0604,7240.0,3.11,76.87
4000,0.0706,7240.0,3.03,71.36
4500,0.08199999999999999,6208.0,3.06,73.19
5000,0.09269999999999999,7272.0,3.06,81.83
6000,0.1133,8284.0,3.03,75.66
7000,0.1334,9288.0,3.07,77.56
8000,0.15539999999999998,10340.0,3.02,76.46
9000,0.1795,10276.0,3.0,69.19
10000,0.2054,11904.0,3.0,68.28
