N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4144.0,1.0,1.0
20,0.0,4152.0,1.0,1.0
30,0.0002,3172.0,1.17,30.0
40,0.0005,4168.0,1.4,40.0
50,0.0009,4180.0,1.68,50.0
60,0.0013,4156.0,1.87,60.0
70,0.0018,3116.0,1.95,70.0
80,0.0023,4144.0,1.98,80.0
90,0.0029,3128.0,2.0,90.0
100,0.0037,4176.0,2.0,100.0
200,0.0141,4164.0,2.0,200.0
300,0.0311,3148.0,2.0,300.0
400,0.0559,4176.0,2.0,400.0
500,0.0862,3136.0,2.0,500.0
600,0.1242,4212.0,2.0,600.0
700,0.16879999999999998,4204.0,2.0,700.0
800,0.21969999999999998,4160.0,2.0,800.0
900,0.275,4208.0,2.0,900.0
1000,0.3443,4132.0,2.0,1000.0
1200,0.5028,4132.0,2.0,1200.0
1400,0.6931,5156.0,2.0,1400.0
1600,0.8914,6192.0,2.0,1600.0
1800,1.141,5152.0,2.0,1800.0
2000,1.4187,6220.0,2.0,2000.0
2500,2.1801,6252.0,2.0,2500.0
3000,3.2198,7204.0,2.0,3000.0
3500,4.3407,8264.0,2.0,3500.0
4000,5.8009,7204.0,2.0,4000.0
4500,7.366499999999999,9260.0,2.0,4500.0
5000,9.2044,9252.0,2.0,5000.0
6000,13.3954,11300.0,2.0,6000.0
7000,18.3105,12372.0,2.0,7000.0
8000,24.528499999999998,13348.0,2.0,8000.0
9000,30.782600000000002,15428.0,2.0,9000.0
10000,39.1577,17472.0,2.0,10000.0
