N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,4e-05,4196.0,1.995,9.542
20,7.000000000000001e-05,4168.0,2.007,18.42
30,0.00011,4196.0,2.115,27.334
40,0.00017,4192.0,2.354,36.337
50,0.00027,4168.0,2.674,45.528
60,0.00034,4168.0,2.827,54.488
70,0.00043,4196.0,2.944,63.449
80,0.00051,4196.0,2.981,72.532
90,0.00057,3104.0,2.997,81.247
100,0.00065,4192.0,2.995,90.486
200,0.00147,3116.0,3.0,179.824
300,0.0023599999999999997,4196.0,3.0,270.136
400,0.00327,4168.0,3.0,360.89
500,0.00421,3144.0,3.0,451.85
600,0.00827,3136.0,3.0,542.912
700,0.01019,3124.0,3.0,634.992
800,0.011349999999999999,3140.0,3.0,726.287
900,0.00948,4172.0,3.0,818.448
1000,0.01248,4176.0,3.0,909.752
1200,0.01685,4168.0,3.0,1094.76
1400,0.01921,5192.0,3.0,1278.65
1600,0.02199,5212.0,3.0,1463.82
1800,0.02019,5192.0,3.0,1648.13
2000,0.02265,4156.0,3.0,1833.37
2500,0.02952,5212.0,3.0,2295.92
3000,0.03612,5192.0,3.0,2761.5
3500,0.0423,6216.0,3.0,3225.75
4000,0.05029,6216.0,3.0,3690.05
4500,0.055490000000000005,5184.0,3.0,4157.34
5000,0.06451000000000001,7240.0,3.0,4622.35
6000,0.0768,6176.0,3.0,5557.55
7000,0.09145,8292.0,3.0,6489.83
8000,0.10604000000000001,6188.0,3.0,7425.56
9000,0.12393000000000001,9288.0,3.0,8362.67
10000,0.13813,9192.0,3.0,9299.76
