K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.11449999999999988,6251.08,2.01,122.88
2,0.12289999999999987,7264.8,2.01,122.88
3,0.13220000000000023,8273.04,2.0,123.01
4,0.14120000000000021,9277.48,2.0,123.03
5,0.14210000000000023,10244.0,2.0,123.06
6,0.1449000000000002,10669.0,2.0,123.01
7,0.14580000000000018,11585.36,2.0,123.03
8,0.1475000000000002,12563.36,2.0,123.04
9,0.1486000000000002,13570.36,2.0,123.04
10,0.15460000000000018,14473.2,2.0,123.04
12,0.15750000000000017,16487.76,2.0,123.06
14,0.03289999999999997,6251.8,1.0,0.0
16,0.03299999999999996,6249.72,1.0,0.0
18,0.03379999999999998,6245.92,1.0,0.0
20,0.034199999999999973,6253.8,1.0,0.0
25,0.032599999999999955,6245.64,1.0,0.0
30,0.033499999999999974,6249.32,1.0,0.0
35,0.033799999999999955,6240.2,1.0,0.0
40,0.03279999999999997,6238.32,1.0,0.0
45,0.03219999999999995,6253.6,1.0,0.0
50,0.03339999999999996,6250.48,1.0,0.0
60,0.03299999999999997,6248.16,1.0,0.0
70,0.03349999999999998,6248.08,1.0,0.0
80,0.03299999999999995,6247.76,1.0,0.0
90,0.033199999999999966,6250.2,1.0,0.0
100,0.03329999999999996,6246.0,1.0,0.0
150,0.032599999999999955,6251.64,1.0,0.0
200,0.032699999999999965,6247.52,1.0,0.0
250,0.03349999999999997,6248.52,1.0,0.0
300,0.033699999999999966,6245.72,1.0,0.0
400,0.032099999999999955,6248.24,1.0,0.0
500,0.03279999999999996,6250.12,1.0,0.0
750,0.03279999999999995,6247.36,1.0,0.0
1000,0.032899999999999964,6247.84,1.0,0.0
1500,0.03379999999999997,6245.84,1.0,0.0
2000,0.03289999999999996,6226.4,1.0,0.0
2500,0.03259999999999996,6251.28,1.0,0.0
3000,0.03279999999999996,6246.76,1.0,0.0
4000,0.03239999999999996,6247.16,1.0,0.0
5000,0.03269999999999996,6248.88,1.0,0.0
7500,0.032299999999999954,6248.48,1.0,0.0
10000,0.032099999999999955,6247.32,1.0,0.0
