K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.11199999999999992,6245.56,2.01,122.91
2,0.12139999999999988,7272.2,2.0,123.0
3,0.12990000000000018,8288.0,2.0,123.03
4,0.13660000000000022,9301.72,2.0,123.06
5,0.13940000000000022,10305.56,2.0,123.05
6,0.1405000000000002,10716.28,2.0,123.02
7,0.1427000000000002,11601.2,2.0,123.04
8,0.1464000000000002,12608.4,2.0,123.04
9,0.14400000000000024,13591.6,2.0,123.04
10,0.1508000000000002,14450.8,2.0,123.06
12,0.15660000000000018,16477.0,2.0,123.07
14,0.03239999999999995,6249.04,1.0,0.0
16,0.032599999999999955,6238.56,1.0,0.0
18,0.03319999999999996,6250.2,1.0,0.0
20,0.03309999999999998,6249.72,1.0,0.0
25,0.032599999999999955,6246.8,1.0,0.0
30,0.03229999999999996,6242.52,1.0,0.0
35,0.032699999999999965,6249.64,1.0,0.0
40,0.032399999999999964,6248.6,1.0,0.0
45,0.031599999999999955,6244.24,1.0,0.0
50,0.03309999999999996,6242.4,1.0,0.0
60,0.032399999999999964,6243.32,1.0,0.0
70,0.032799999999999954,6246.4,1.0,0.0
80,0.03299999999999996,6238.76,1.0,0.0
90,0.03299999999999996,6246.32,1.0,0.0
100,0.03299999999999996,6250.52,1.0,0.0
150,0.03249999999999997,6236.56,1.0,0.0
200,0.032699999999999965,6239.84,1.0,0.0
250,0.03319999999999995,6249.56,1.0,0.0
300,0.03389999999999997,6250.4,1.0,0.0
400,0.03339999999999997,6248.64,1.0,0.0
500,0.03369999999999996,6242.2,1.0,0.0
750,0.032999999999999974,6239.92,1.0,0.0
1000,0.03289999999999995,6245.72,1.0,0.0
1500,0.033599999999999956,6248.72,1.0,0.0
2000,0.03279999999999996,6247.44,1.0,0.0
2500,0.03309999999999996,6248.48,1.0,0.0
3000,0.032299999999999954,6248.76,1.0,0.0
4000,0.032399999999999964,6250.72,1.0,0.0
5000,0.03309999999999997,6236.04,1.0,0.0
7500,0.032399999999999964,6235.48,1.0,0.0
10000,0.033099999999999956,6246.24,1.0,0.0
