K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.7891000000000007,6535.12,14.66,88.55
2,0.5237000000000005,7276.28,7.13,76.34
3,0.37730000000000014,8284.04,4.99,71.1
4,0.2219000000000001,9306.16,4.03,68.35
5,0.32220000000000015,10328.68,3.99,67.91
6,0.29040000000000005,11346.84,3.52,64.1
7,0.15990000000000015,12364.28,3.01,63.67
8,0.16400000000000006,12876.0,3.0,63.76
9,0.1685,13394.68,3.0,64.31
10,0.17859999999999993,14418.88,3.0,64.36
12,0.2463000000000001,16445.4,3.0,64.15
14,0.3813000000000001,18492.28,3.0,60.54
16,0.11259999999999987,18512.24,2.01,59.01
18,0.11569999999999987,18525.28,2.01,58.92
20,0.11209999999999991,18541.28,2.0,58.95
25,0.11189999999999989,18537.4,2.0,58.95
30,0.11409999999999991,18534.72,2.0,58.95
35,0.1127999999999999,18539.12,2.0,58.95
40,0.11019999999999991,18538.04,2.0,58.95
45,0.11199999999999992,18537.64,2.0,58.95
50,0.11139999999999992,18531.08,2.0,58.95
60,0.10959999999999992,18534.48,2.0,58.95
70,0.11039999999999991,18539.32,2.0,58.95
80,0.11169999999999991,18530.2,2.0,58.95
90,0.11069999999999988,18535.64,2.0,58.95
100,0.11199999999999989,18539.92,2.0,58.95
150,0.11059999999999989,18536.76,2.0,58.95
200,0.11229999999999989,18541.92,2.0,58.95
250,0.11119999999999991,18534.84,2.0,58.95
300,0.11209999999999991,18541.8,2.0,58.95
400,0.11249999999999989,18534.28,2.0,58.95
500,0.1128999999999999,18536.76,2.0,58.95
750,0.11259999999999987,18522.12,2.0,58.95
1000,0.1122999999999999,18537.32,2.0,58.95
1500,0.11309999999999988,18533.68,2.0,58.95
2000,0.11209999999999992,18538.24,2.0,58.95
2500,0.11209999999999991,18538.84,2.0,58.95
3000,0.1118999999999999,18537.0,2.0,58.95
4000,0.11189999999999994,18541.88,2.0,58.95
5000,0.11069999999999991,18535.76,2.0,58.95
7500,0.11009999999999992,18540.12,2.0,58.95
10000,0.11189999999999996,18530.76,2.0,58.95
