K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.7602000000000002,7260.28,13.39,91.36
2,0.3787000000000001,7273.64,4.68,73.69
3,0.3213000000000003,8296.76,3.61,68.81
4,0.20219999999999996,9322.2,3.0,68.66
5,0.3604,10330.64,3.0,66.03
6,0.13530000000000025,11366.96,2.02,63.08
7,0.13410000000000022,12386.08,2.0,63.17
8,0.13740000000000024,13416.72,2.0,63.73
9,0.14340000000000022,14442.4,2.0,63.99
10,0.15180000000000016,15445.0,2.0,63.86
12,0.2527,16487.8,2.0,63.68
14,0.033699999999999966,6232.8,1.0,0.0
16,0.03319999999999997,6253.0,1.0,0.0
18,0.03399999999999997,6249.12,1.0,0.0
20,0.03279999999999996,6240.44,1.0,0.0
25,0.03459999999999997,6250.12,1.0,0.0
30,0.033199999999999966,6246.6,1.0,0.0
35,0.033199999999999966,6248.12,1.0,0.0
40,0.03279999999999996,6247.64,1.0,0.0
45,0.03359999999999997,6248.72,1.0,0.0
50,0.03359999999999998,6219.16,1.0,0.0
60,0.03379999999999997,6244.68,1.0,0.0
70,0.03369999999999996,6251.44,1.0,0.0
80,0.03379999999999998,6250.72,1.0,0.0
90,0.034399999999999965,6251.16,1.0,0.0
100,0.033999999999999975,6240.88,1.0,0.0
150,0.034699999999999974,6252.84,1.0,0.0
200,0.03429999999999997,6249.72,1.0,0.0
250,0.03389999999999997,6244.0,1.0,0.0
300,0.03389999999999998,6249.8,1.0,0.0
400,0.035399999999999966,6225.8,1.0,0.0
500,0.03349999999999995,6247.84,1.0,0.0
750,0.033299999999999975,6249.08,1.0,0.0
1000,0.03419999999999998,6246.64,1.0,0.0
1500,0.033399999999999964,6246.28,1.0,0.0
2000,0.03429999999999997,6247.4,1.0,0.0
2500,0.03379999999999997,6237.84,1.0,0.0
3000,0.03359999999999997,6246.64,1.0,0.0
4000,0.03309999999999995,6254.76,1.0,0.0
5000,0.034299999999999976,6248.04,1.0,0.0
7500,0.03429999999999996,6252.08,1.0,0.0
10000,0.03349999999999996,6246.04,1.0,0.0
