K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,1955.0354999999993,6246.44,156.21,10000.0
2,261.40319999999997,7721.68,20.97,10000.0
3,122.96889999999993,8457.44,9.12,10000.0
4,88.79260000000002,10343.12,6.64,10000.0
5,81.47639999999997,11348.68,5.57,10000.0
6,62.82400000000003,12376.52,4.98,10000.0
7,57.23430000000003,13414.68,4.52,10000.0
8,51.913099999999986,14440.6,4.01,10000.0
9,50.660700000000006,15457.84,4.0,10000.0
10,50.479299999999995,15467.6,3.99,10000.0
12,48.5991,17501.56,3.85,10000.0
14,41.99880000000003,19560.12,3.3,10000.0
16,38.527000000000015,21588.56,3.02,10000.0
18,37.98619999999998,23634.68,3.0,10000.0
20,38.2219,25688.84,3.0,10000.0
25,38.18709999999999,29773.44,3.0,10000.0
30,38.08600000000001,34867.76,2.99,10000.0
35,37.1697,39014.84,2.99,10000.0
40,35.82700000000002,44134.16,2.89,10000.0
45,34.348499999999994,49220.6,2.79,10000.0
50,30.965899999999998,53354.72,2.49,10000.0
60,26.001400000000004,62567.16,2.07,10000.0
70,25.040599999999994,71783.64,2.0,10000.0
80,25.191600000000008,82004.08,2.0,10000.0
90,25.222500000000004,91211.08,2.0,10000.0
100,25.369699999999998,100448.4,2.0,10000.0
150,25.86629999999999,147509.08,2.0,10000.0
200,26.27249999999999,193641.92,2.0,10000.0
250,26.780300000000008,240713.2,2.0,10000.0
300,27.14709999999999,287804.88,2.0,10000.0
400,28.06569999999999,381982.76,2.0,10000.0
500,29.3098,475228.16,2.0,10000.0
750,31.912900000000004,709708.28,2.0,10000.0
1000,34.38690000000001,944129.04,2.0,10000.0
1500,38.94710000000001,1413073.8,1.96,10000.0
2000,44.033200000000015,1881889.0,1.85,10000.0
2500,48.97619999999999,2350140.64,1.69,10000.0
3000,52.619,2819069.48,1.55,10000.0
4000,61.336400000000005,3756987.32,1.17,10000.0
5000,13.488800000000003,1131264.92,1.0,0.0
7500,13.4389,1131175.44,1.0,0.0
10000,13.468099999999998,1131259.2,1.0,0.0
