K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.25907999999999926,7302.048,2.993,9137.18
2,0.24703999999999962,8298.272,2.702,9138.632
3,0.2267599999999992,9327.104,2.012,9139.521
4,0.23034999999999878,10347.756,2.001,9138.512
5,0.2302799999999984,11369.672,2.0,9138.877
6,0.23364999999999833,12382.496,2.0,9138.662
7,0.23966999999999924,13365.348,2.0,9138.97
8,0.24300000000000052,14388.996,2.0,9138.138
9,0.25042000000000136,14525.228,2.0,9137.979
10,0.25191000000000136,15473.672,2.0,9137.965
12,0.25963999999999954,17514.06,2.0,9136.976
14,0.03794999999999958,7275.868,1.0,0.0
16,0.038069999999999576,7272.42,1.0,0.0
18,0.03788999999999962,7270.7,1.0,0.0
20,0.03788999999999962,7271.516,1.0,0.0
25,0.038049999999999584,7277.248,1.0,0.0
30,0.03787999999999962,7266.276,1.0,0.0
35,0.03816999999999955,7269.108,1.0,0.0
40,0.03791999999999959,7281.108,1.0,0.0
45,0.038019999999999575,7278.348,1.0,0.0
50,0.0379699999999996,7274.308,1.0,0.0
60,0.03809999999999955,7279.784,1.0,0.0
70,0.03791999999999957,7280.032,1.0,0.0
80,0.03764999999999961,7275.824,1.0,0.0
90,0.03788999999999957,7274.868,1.0,0.0
100,0.03779999999999962,7283.432,1.0,0.0
150,0.0379999999999996,7273.62,1.0,0.0
200,0.03794999999999959,7280.792,1.0,0.0
250,0.03831999999999952,7278.424,1.0,0.0
300,0.03806999999999956,7281.976,1.0,0.0
400,0.03814999999999956,7280.336,1.0,0.0
500,0.03824999999999955,7273.852,1.0,0.0
750,0.037489999999999635,7283.128,1.0,0.0
1000,0.03774999999999963,7276.928,1.0,0.0
1500,0.03760999999999965,7280.908,1.0,0.0
2000,0.03750999999999961,7277.412,1.0,0.0
2500,0.03793999999999958,7282.16,1.0,0.0
3000,0.038259999999999565,7268.312,1.0,0.0
4000,0.03771999999999961,7277.496,1.0,0.0
5000,0.037939999999999585,7276.016,1.0,0.0
7500,0.037979999999999584,7274.284,1.0,0.0
10000,0.03795999999999959,7272.276,1.0,0.0
