K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.21181999999999812,7285.444,2.306,9137.758
2,0.2023099999999983,8311.48,2.002,9139.526
3,0.2051799999999991,9329.64,2.0,9138.77
4,0.19513000000000003,10298.78,1.577,9137.526
5,0.18286000000000044,10558.964,1.138,9137.303
6,0.1790000000000015,10597.636,1.025,9137.158
7,0.1788800000000009,10604.688,1.004,9136.939
8,0.17920000000000066,10601.772,1.0,9136.886
9,0.1782600000000008,10603.848,1.0,9136.886
10,0.17828000000000077,10600.852,1.0,9136.886
12,0.17862000000000094,10603.668,1.0,9136.886
14,0.03814999999999953,7272.288,1.0,0.0
16,0.03817999999999956,7280.752,1.0,0.0
18,0.03794999999999958,7275.0,1.0,0.0
20,0.03806999999999957,7282.072,1.0,0.0
25,0.03786999999999958,7279.3,1.0,0.0
30,0.037909999999999576,7280.64,1.0,0.0
35,0.03756999999999961,7282.62,1.0,0.0
40,0.0378599999999996,7276.636,1.0,0.0
45,0.038209999999999536,7282.844,1.0,0.0
50,0.03803999999999959,7281.08,1.0,0.0
60,0.03751999999999966,7278.212,1.0,0.0
70,0.03812999999999953,7273.444,1.0,0.0
80,0.038109999999999575,7279.06,1.0,0.0
90,0.03789999999999958,7272.688,1.0,0.0
100,0.0375799999999996,7280.988,1.0,0.0
150,0.03811999999999959,7268.952,1.0,0.0
200,0.0377199999999996,7278.464,1.0,0.0
250,0.037479999999999625,7281.956,1.0,0.0
300,0.03846999999999948,7283.224,1.0,0.0
400,0.03742999999999963,7285.692,1.0,0.0
500,0.03763999999999963,7282.316,1.0,0.0
750,0.03758999999999961,7279.44,1.0,0.0
1000,0.03765999999999963,7278.512,1.0,0.0
1500,0.03732999999999967,7286.604,1.0,0.0
2000,0.037119999999999695,7280.524,1.0,0.0
2500,0.03734999999999967,7284.196,1.0,0.0
3000,0.037499999999999624,7283.436,1.0,0.0
4000,0.03706999999999967,7283.424,1.0,0.0
5000,0.03751999999999962,7277.996,1.0,0.0
7500,0.03773999999999962,7284.08,1.0,0.0
10000,0.037499999999999645,7282.476,1.0,0.0
