K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,3.679589999999998,7280.232,96.295,9155.802
2,0.15952999999999795,8310.02,4.0,9255.805
3,0.12081000000000099,9328.672,3.0,9288.546
4,0.08265999999999965,10356.168,2.0,9300.757
5,0.08571000000000062,11378.796,2.0,9287.578
6,0.08928000000000158,12399.548,2.0,9284.099
7,0.09158000000000156,13416.712,2.0,9281.914
8,0.0968000000000003,13430.84,2.0,9285.016
9,0.10130999999999905,14454.568,2.0,9290.376
10,0.10337999999999903,15480.704,2.0,9298.978
12,0.11481999999999976,17525.476,2.0,9329.267
14,0.037329999999999676,7274.78,1.0,0.0
16,0.03768999999999963,7277.588,1.0,0.0
18,0.03744999999999968,7281.292,1.0,0.0
20,0.037289999999999664,7280.716,1.0,0.0
25,0.03743999999999963,7279.748,1.0,0.0
30,0.03815999999999955,7273.912,1.0,0.0
35,0.03806999999999957,7283.812,1.0,0.0
40,0.03787999999999961,7281.34,1.0,0.0
45,0.037669999999999614,7279.78,1.0,0.0
50,0.037989999999999614,7280.896,1.0,0.0
60,0.037499999999999686,7281.092,1.0,0.0
70,0.03805999999999957,7277.84,1.0,0.0
80,0.03814999999999957,7276.648,1.0,0.0
90,0.0378999999999996,7283.308,1.0,0.0
100,0.03825999999999957,7278.196,1.0,0.0
150,0.03838999999999953,7280.356,1.0,0.0
200,0.0378999999999996,7277.62,1.0,0.0
250,0.03802999999999959,7277.588,1.0,0.0
300,0.0376199999999996,7276.072,1.0,0.0
400,0.037989999999999614,7279.156,1.0,0.0
500,0.03787999999999957,7279.892,1.0,0.0
750,0.038279999999999564,7283.604,1.0,0.0
1000,0.0379799999999996,7279.124,1.0,0.0
1500,0.03834999999999953,7279.116,1.0,0.0
2000,0.03823999999999957,7279.68,1.0,0.0
2500,0.03818999999999958,7280.884,1.0,0.0
3000,0.03776999999999961,7283.028,1.0,0.0
4000,0.037489999999999635,7283.152,1.0,0.0
5000,0.03806999999999958,7280.68,1.0,0.0
7500,0.03842999999999953,7270.352,1.0,0.0
10000,0.03810999999999958,7278.824,1.0,0.0
